"docid"	"author"	"realname"	"pseudonym"	"gender"	"nationality"	"authordate"	"inferreddate"	"firstpub"	"latestcomp"	"allcopiesofwork"	"copiesin25yrs"	"enumcron"	"imprint"	"genres"	"subjects"	"shorttitle"	"category"	"hathiadvent"
"uc2.ark+=13960=t0pr7sq62"	"Thackeray, William Makepeace"			"m"	"uk"	"1811-1863."	1855	1855	1855	14	1	"v.03"	"London;Bradbury & Evans;1855-1857."	"Fiction|ContainsBiogMaterial|NotFiction"	"English literature"	"The memoirs of Barry Lyndon, Esq. A legend of the Rhine. Rebecca and Rowena. A little dinner at Timmins's. The Bedford-Row conspiracy"	"shortfiction"	"contemporary"
"mdp.39015061469139"	"Candelaria, Nash"			"m"	"us"	"(1928)-"	1977	1977	1977	2	2		"Tempe, AZ|Bilingual Press|1987, c1977."	"Novel|Fiction"	"Social life and customs|Mexican Americans|Fiction"	"Memories of the Alhambra"	"longfiction"	"contemporary"
"uc1.$b746092"	"Andersen, Hartvig"			"m"	"de"		1954	1954	1954	1	1		"New York|Rinehart|1954"	"NotFiction"	"Secret service|United States|Germany|Berlin|World War, 1939-1945"	"The dark city; a true account of adventures of a secret agent in Berlin, as told to Hartvig Andersen"	"notfiction"	"contemporary"
"nyp.33433074855069"	"Gallichan, Walter M. (Walter Matthew)"	"Gallichan, Walter Matthew"	"Mortimer, Geoffrey"	"m"	"uk"	"1861-1946."	1895	1895	1895	1	1		"London;B. Dobell;1895."	"Fiction"		"Like stars that fall"	"longfiction"	"contemporary"
"nyp.33433081652574"	"Fraser, James Baillie"			"m"	"uk"	"1783-1856."	1838	1838	1838	2	2	"v.1"	"London;R. Bentley;1838."	"NotFiction"	"Prices|Social life and customs|Description and travel"	"Narrative of the residence of the Persian princes in London, in 1835 and 1836. With an account of their journey from Persia, and subsequent adventures"	"notfiction"	"contemporary"
"uc1.$b301045"	"Kent, Louise Andrews"			"f"	"us"	"1886-1969."	1945	1945	1945	1	1		"Boston|Houghton Mifflin|c1945"	"Fiction"		"Country mouse"	"longfiction"	"contemporary"
"nyp.33433074861935"	"Hume, Fergus"			"m"	"uk"	"1859-1932."	1908	1908	1908	1	1		"New York;Dodge publishing company;c1908"	"Fiction"		"The red skull"	"longfiction"	"contemporary"
"nyp.33433074856836"	"Gibbon, Muriel Morgan"			"f"	"uk"		1921	1921	1921	1	1		"Garden City, N.Y.;Toronto;Doubleday, Page & Company;1921."	"NotFiction"		"The alternative"	"longfiction"	"contemporary"
"pst.000005752546"	"Stewart, Elizabeth Grey"			"f"	"us"	"1914-"	1961	1961	1961	1	1		"New York|Putnam|1961]."	"NotFiction"		"Young man of the year : a novel"	"longfiction"	"contemporary"
"uc1.32106009522654"	"Humphreys, Emyr"			"m"	"uk"	"b. 1919"	1991	1991	1991	1	1		"London|Macdonald|1991."	"Fiction"	"Parry, Amy (Fictitious character)|Women|Widows|Fiction|Older women|Death|Fathers|Mothers and sons|Wales"	"Bonds of attachment"	"longfiction"	"contemporary"
"pst.000045753022"	"Bristow, Gwen"			"f"	"us"	"1903-1980."	1962	1962	1962	1	1		"New York|Crowell|1962]."	"NotFiction"		"Plantation trilogy : Deep summer, The handsome road [and] This side of glory"	"longfiction"	"contemporary"
"uc1.b248787"	"Eggleston, Edward"			"m"	"us"	"1837-1902."	1872	1870	1870	2	2		"Chicago [Ill.;Adams, Blackmer, & Lyon Publishing Co.;1872."		"Christmas stories"	"Mr. Blake's walking stick"	"juvenile"	"contemporary"
"mdp.39015060836171"	"Escandón, María Amparo"			"f"	"me"	"b. 1957"	2005	2005	2005	1	1		"New York|Three Rivers Press|c2005."	"Domestic fiction|Novel|Psychological fiction"	"Fiction|Women prisoners|Trucking|Fathers and daughters"	"González and Daughter Trucking Co. : a road novel with literary license"	"longfiction"	"contemporary"
"uc1.$b101946"	"Hedden, Worth Tuttle"			"f"	"us"	"1918-1985"	1952	1952	1952	2	2		"New York|Crown Publishers|1952"	"NotFiction"		"Love is a wound"	"longfiction"	"contemporary"
"mdp.39015033493647"	"Simenon, Georges"			"m"	"be"	"1903-1989."	1977	1967	1967	1	1		"New York|Harcourt Brace Jovanovich|1977] c1967."	"Fiction"		"Monsieur Monde vanishes"	"longfiction"	"contemporary"
"nyp.33433081963146"	"Wade, Mary Hazelton Blanchard"			"f"	"us"	"1860-1936."	1904	1904	1904	1	1		"Boston;Chicago;W. A. Wilde company;c1904"	"NotFiction"	"Indian children|North America"	"Ten little Indians; stories of how Indian children lived and played"	"juvenile"	"contemporary"
"nyp.33433076025943"	"Smith, John Hyatt"			"m"	"us"	"1824-1886."	1874	1874	1874	1	1		"Brooklyn;D. S. Holmes;1874."	"Fiction"	"American fiction"	"The open door; or, Light and liberty"	"longfiction"	"contemporary"
"mdp.39015059774052"	"Olson, Gene"			"m"	"us"	"1922-"	1966	1966	1966	1	1		"Philadelphia|Westminster Press|1966"	"NotFiction"		"Cross-country chaos"	"notfiction"	"contemporary"
"pst.000014560620"	"Joseph, Mark"			"m"	"us"	"b. 1946"	1986	1986	1986	1	1		"New York|D.I. Fine|c1986."	"NotFiction"		"To kill the Potemkin : a novel"	"longfiction"	"contemporary"
"mdp.39015048717071"	"Conrad, Joseph"			"m"	"uk"	"1857-1924."	1920	1920	1920	1	1		"New York;E. P. Dutton and company; [etc., etc.;1920"	"Fiction"		"Youth and Gaspar Ruiz"	"longfiction"	"contemporary"
"nyp.33433074928775"	"Bell, John Keble"	"Bell, John Keble"	"Howard, Keble"	"m"	"uk"	"1875-1928"	1917	1917	1917	1	1		"New York;London;1917."	"NotFiction"		"The gay life"	"longfiction"	"contemporary"
"uc2.ark+=13960=t21c1v37w"	"Sidney, Margaret"	"Lothrop, Harriet Mulford Stone"	"Sidney, Margaret"	"f"	"us"	"1844-1924."	1916	1916	1916	1	1		"Boston;Lothrop, Lee & Shepard co.;1916"			"Our Davie Pepper"	"juvenile"	"contemporary"
"nyp.33433074866561"	"Kinross, Albert"			"m"	"uk"	"1870-1929."	1908	1908	1908	1	1		"New York;Macmillan;1908."	"Fiction"		"Joan of Garioch"	"longfiction"	"contemporary"
"nyp.33433074927744"	"Lennox, Charlotte"			"f"	"uk"		1820	1752	1820	1	1	"v. 25 (Female Quixote; part 2)"	"London;s.n.;1820."	"NotFiction"	"English literature"	"The British novelists; with an essay, and prefaces, biographical and critical"	"longfiction"	"reprint"
"pst.000005733071"	"Grahame, Arthur W"			"m"	"us"		1967	1967	1967	1	1		"Philadelphia|Dorrance|1967]."	"NotFiction"		"Rabbitfoot"	"longfiction"	"contemporary"
"nyp.33433074793831"	"Corbin, John"			"m"	"us"	"1870-1959."	1907	1907	1907	2	2		"New York;D. Appleton and company;1907."	"Fiction"		"The cave man"	"longfiction"	"contemporary"
"nyp.33433082303151"	"Franklin, Josephine"			"f"	"us"		1865	1865	1865	1	1		"Boston;Taggard and Thompson;1865."	"Juvenile audience|Fiction"		"Martin and the miller"	"juvenile"	"contemporary"
"inu.30000007708815"	"Collins, Wilkie"			"m"	"uk"	"1824-1889."	1868	1868	1868	1	1		"New York;Harper & brothers;1868."	"NotFiction"		"The moonstone. A novel"	"longfiction"	"contemporary"
"uiuo.ark+=13960=t75t4866z"	"Roche, Regina Maria"			"f"	"uk"	"1764-1845."	1824	1824	1824	4	4	"v.4"	"London;Printed for A. K. Newman and Co.;1824."			"The tradition of the castle;"	"longfiction"	"contemporary"
"nyp.33433074862305"	"Cambridge, William G"			"m"	"us"		1853	1853	1853	1	1		"Boston;Abel Tompkins and B. B. Mussey;1853."	"NotFiction"		"Henri : or, the web and woof of life"	"longfiction"	"contemporary"
"uc2.ark+=13960=t1ng4h02g"	"Greenleaf, Sue"			"f"	"us"		1906	1906	1906	1	1		"New York;B. W. Dodge and Company;c1906"		"sf"	"Don Miguel Lehumada"	"longfiction"	"contemporary"
"uiuo.ark+=13960=t44q88r9x"	"Gore"	"Gore, Catherine Grace Frances"		"f"	"uk"	"1798-1861"	1838	1838	1838	3	3	"v.3"	"London;H. Colburn;1838."			"The heir of Selwood, or, Three epochs of a life"	"longfiction"	"contemporary"
"mdp.39015001153629"	"Christie, Agatha"			"f"	"us"	"1890-1976."	1933	1933	1933	1	1		"New York|Dodd, Mead & company|1933."	"Fiction"		"Thirteen at dinner"	"longfiction"	"contemporary"
"coo.31924064998069"	"White, Percy"			"m"	"uk"	"1852-1938."	1905	1905	1905	2	2	"v.2"	"Leipzig;B. Tauchnitz;1905."	"NotFiction"		"The system"	"longfiction"	"contemporary"
"uc2.ark+=13960=t4nk38459"	"Pitt, William"			"m"	"uk"	"1708-1778"	1804	1804	1804	2	2		"London;Printed for T. Payne ... by T. Bensley;1804."		"Pitt, William|Camelford, Thomas Pitt|Earl of Chatham|Baron|Correspondence|1708-1778|1737-1793"	"Letters written by the late Earl of Chatham to his nephew, Thomas Pitt, esq"	"notfiction"	"contemporary"
"uc2.ark+=13960=t3dz04t88"	"Flynn, William J"			"m"	"us"	"1861-1928"	1919	1919	1919	1	1		"New York;J.A. McCann;1919."			"The barrel mystery"	"notfiction"	"contemporary"
"dul1.ark+=13960=t9g45ch9h"	"Godfrey, Hollis"			"m"	"us"	"1874-1936"	1908	1908	1908	2	2		"Boston;Little, Brown & Company;1908."			"The man who ended war;"	"longfiction"	"contemporary"
"mdp.39015042099278"	"Head, Ann"			"f"	"us"	"b. 1915- "	1961	1961	1961	1	1		"Garden City, N.Y.|Doubleday|1961."	"Fiction"		"Always in August"	"longfiction"	"contemporary"
"hvd.hnn97y"	"Hood, Thomas"			"m"	"uk"	"1799-1845."	1827	1827	1827	1	1		"London;William H. Ainsworth;1827."	"Fiction"		"National tales"	"shortfiction"	"contemporary"
"uiuo.ark+=13960=t7br98r5d"				"f"	"uk"		1810	1810	1810	1	1	"v.1"	"London;Printed for the authoress and sold by Sherwood, Neely, and Jones;1810."			"The adulteress ; or, anecdotes of two noble families"	"longfiction"	"contemporary"
"uc1.$b555827"	"Trenker, Luis"			"m"		"1892-1990"	1934	1933	1934	1	1		"New York|E. P. Dutton and company|1934."	"NotFiction"	"Mountaineering"	"Brothers of the snow"	"notfiction"	"contemporary"
"uc2.ark+=13960=t4rj4ck98"				"u"			1846	1846	1846	3	3		"New York;Stanford and Swords;1846."			"Recantation"	"longfiction"	"contemporary"
"uc1.$b3181"	"Branson, Helen Kitchen"			"f"	"us"	"1916-2006"	1947	1947	1947	1	1		"Pasadena, Calif.|M.S. Sen|c1947"	"NotFiction"	"Race relations|1905-|Griffin, Edna La Flore"	"Let there be life: a contemporary account of Edna L. Griffin, M.D"	"notfiction"	"contemporary"
"mdp.39015063587474"	"Majendie, Margaret, Lady"			"f"	"uk"	"1850-1912"	1881	1875	1881	1	1		"New York;G. Munro;1881"	"Fiction"		"Giannetto"	"longfiction"	"contemporary"
"uc2.ark+=13960=t8mc8ss07"				"u"			1854	1854	1854	2	2		"Boston;E. W. Hinks;1854."		"VI|United States|Alexander|Anti-Catholicism|Fiction|Sources|Pope|1431-1503"	"One link in the chain of apostolic succession"	"notfiction"	"contemporary"
"nyp.33433074852835"	"Birmingham, George A"	"Hannay, James Owen"	"Birmingham, George A"	"m"	"ir"	"1865-1950."	1905	1905	1905	4	4		"London;E. Arnold;1905."	"Fiction|NotFiction"		"The seething pot"	"longfiction"	"contemporary"
"uc1.$b662534"	"Nazhivin, Iv. (Ivan)"		"Nazhivin, Ivan"	"m"	"ru"	"1874-1940."	1931	1930	1931	1	1		"New York|London|Harper & brothers|c1931"	"Fiction"		"According to Thomas, an historical novel of the first century"	"longfiction"	"contemporary"
"uc2.ark+=13960=t74t6gp9m"	"Cushing, Paul"			"m"	"uk"	"1854-1919"	1840	1840	1840	3	3	"v.2"	"Edinburgh;W. Blackwood;1840."			"The bull i' th' thorn"	"longfiction"	"contemporary"
"mdp.39015028917659"	"Pradhan, Pabitra Kumar"			"m"			1992	1992	1992	1	1		"Cuttack, Orissa|Toshali Books|1992."	"Fiction"		"Audible silence"	"longfiction"	"contemporary"
"mdp.39015028435223"				"u"			1992	1992	1992	1	1		"New York, N.Y.|Peguin|1992."	"NotFiction"	"United States|Women authors|Catholics|Literary collections|Girls|Catholic women|Catholic authors|American literature|20th century"	"Catholic girls"	"shortfiction"	"contemporary"
"pst.000006161873"	"Paisley, John Walter"			"m"	"us"	"d. 1949"	1938	1938	1938	1	1		"Boston|The Christopher publishing house|c1938]."	"NotFiction"		"Ras Bravado"	"longfiction"	"contemporary"
"uc1.b4449524"	"Andress, Lesley"	"Sanders, Lawrence"	"Andress, Lesley"	"m"	"us"	"1920-1988"	1980	1980	1980	1	1		"New York|Putnam|c1980"	"Fiction"		"Caper"	"longfiction"	"contemporary"
"uiuo.ark+=13960=t9j393d7p"	"Crumpe"			"u"	"uk"		1829	1829	1829	3	3	"v.1"	"London;H. Colburn;1829."		"Ireland|Fiction|History|1558-1603"	"Geraldine of Desmond, or, Ireland in the reign of Elizabeth"	"longfiction"	"contemporary"
"uiuo.ark+=13960=t1ng57g58"	"Anonymous"			"u"			1868	1868	1868	1	1	"v.3"	"London;Tinsley Bros.;1868."			"Out of the meshes"	"longfiction"	"contemporary"
"uiuo.ark+=13960=t7zk5z02q"	"Brown, Thomas"			"m"			1819	1819	1819	3	3	"v.3"	"London;Printed for Sherwood, Neely, and Jones;1819."			"London, or, A month at Steven's"	"longfiction"	"contemporary"
"mdp.39015012190651"	"Maupassant, Guy de"			"m"	"fr"	"1850-1893."	1917	1884	1893	1	1	"v.12"	"New York;Brunswick Subscription Co.;1917"	"UnknownGenre"		"The complete works of Guy de Maupassant. Translations and critical and interpretative essays"	"drama"	"reprint"
"pst.000004786689"	"Chase, James Hadley"		"Marshall, Ranond"	"m"	"uk"	"1906-1985"	1950	1950	1950	1	1		"London|Published for the Crime Book Society by jarrolds|1950]."	"NotFiction"		"Malory"	"longfiction"	"contemporary"
"uc2.ark+=13960=t4bp02s9c"	"James, G. P. R. (George Payne Rainsford)"			"m"	"uk"	"1799-1860."	1844	1835	1844	1	1	"v.14"	"London;Smith, Elder and Co.;1844-49."			"[The works"	"longfiction"	"contemporary"
"nyp.33433076073646"	"Warner, Susan"			"f"	"us"	"1819-1885."	1877	1877	1877	1	1		"New York;R. Carter and Brothers;1877."	"Fiction"		"Pine needles : [a story]"	"longfiction"	"contemporary"
"mdp.39015000512742"	"Simenon, Georges"			"m"	"be"	"1903-1989."	1976	1964	1976	2	1		"London|Hamilton|c1976."	"Novel|Fiction|Detective and mystery stories"	"Police|Maigret, Jules (Fictitious character)|France|Paris|Fiction"	"Maigret and the ghost"	"longfiction"	"contemporary"
"uc2.ark+=13960=t7xk8n82d"	"Lever, Charles James"			"m"	"ir"	"1806-1872."	1880	1856	1872	1	1	"v.12"	"London, New York;G. Routledge and Sons;188-?"			"Charles Lever's novels"	"longfiction"	"contemporary"
"mdp.39015061866318"	"Chaffee, Allen"			"m"			1930	1930	1930	1	1		"Springfield, Mass.|McLoughlin|1930?"	"Novel|Juvenile audience"		"Lost! : Two boys battle the elements"	"juvenile"	"contemporary"
"inu.39000003642282"	"Harris, Christie"			"f"	"ca"	"1907-2002"	1975	1975	1975	1	1		"Toronto|McClelland and Stewart|c1975."	"NotFiction"	"Folklore|Indians of North America|Northwest, Pacific"	"Sky man on the totem pole?"	"juvenile"	"contemporary"
"mdp.39015059119886"	"Nissen, Thisbe"			"f"	"us"	"1972-"	2004	2004	2004	1	1		"New York|Alfred A. Knopf|Distributed by Random House|2004."	"Domestic fiction|Novel|Psychological fiction"	"Single mothers|Accident victims|Islands|Community life|Fiction|Custody of children|Summer resorts"	"Osprey Island"	"longfiction"	"contemporary"
"pst.000005455102"	"Fairchild, Garet"	"Rogers, Will H."	"Fairchild, Garet"	"m"	"us"		1956	1956	1956	1	1		"New York|Exposition Press|1956]."	"NotFiction"		"Prisoners in the Riff : a novel"	"longfiction"	"contemporary"
"mdp.39015049744967"	"Cather, Willa"			"f"	"us"	"1873-1947."	1927	1915	1927	6	4		"Boston|New York|Hougton Mifflin company|1927"	"Bibliographies|Fiction|NotFiction"	"Fiction|Fiction|Opera|Young women|Women singers|Children of clergy|Social life and customs|Swedish Americans"	"The song of the lark"	"longfiction"	"contemporary"
"uiuo.ark+=13960=t3bz6v35r"	"Scott, Walter, Sir"			"m"	"uk"	"1771-1832."	1818	1817	1818	21	7	"v.2"	"Edinburgh;Printed by James Ballantyne and Co. for Archibald Constable and Co.;London;Longman, Hurst, Rees, Orme, and Brown;1818."	"Fiction|UnknownGenre|NotFiction"	"Fiction|1671-1734|Rob Roy"	"Rob Roy"	"longfiction"	"contemporary"
"uiuo.ark+=13960=t0qr5fj5r"	"Savile, Charles Stuart"			"m"	"uk"	"1816-1870"	1842	1842	1842	3	3	"v.2"	"London;R. Bentley;1842."			"Karah Kaplan; or, The Koordish chief"	"longfiction"	"contemporary"
"mdp.39015018520398"	"Moggach, Deborah"			"f"	"uk"	"b. 1948"	1990	1990	1990	1	1		"London|Heinemann|1990."	"Fiction"		"Stolen"	"longfiction"	"contemporary"
"uc2.ark+=13960=t9f47hm13"	"Holland, J. G. (Josiah Gilbert)"	"Holland, Josiah Gilbert"		"m"	"us"	"1819-1881."	1864	1857	1864	1	1		"New York;C. Scribner;1864."			"The Bay-path;"	"longfiction"	"contemporary"
"mdp.39015001610354"	"Cheever, John"			"m"	"us"	"1912-1982"	1977	1977	1977	3	3		"New York|Knopf|1977."	"Fiction|NotFiction"	"Large type books"	"Falconer"	"longfiction"	"contemporary"
"mdp.39015060075960"	"Rosencof, Mauricio"			"m"	"uy"	"b. 1933"	2004	2000	2004	1	1		"Albuquerque|University of New Mexico Press|2004."	"Fiction"	"Uruguay|Jews|Authors, Uruguayan|Political prisoners|Biography|20th century"	"The letters that never came"	"longfiction"	"contemporary"
"uc2.ark+=13960=t6qz22x3r"	"Harland, Marion"	"Terhune, Mary Virginia"	"Harland, Marion"	"f"	"us"	"1830-1922."	1876	1873	1876	1	1		"New York;G.W. Carleton;1876 [c1873"			"Jessamine"	"longfiction"	"contemporary"
"njp.32101066457449"	"Collins, Mortimer"	"Collins, Edward James Mortimer"		"m"	"uk"	"1827-1876."	1865	1865	1865	1	1	"vol.3"	"London;J. Maxwell;1865."	"NotFiction"		"Who is the heir? A novel"	"longfiction"	"contemporary"
"uc1.b3741192"	"Wambakha, O"			"u"			1978	1978	1978	1	1		"Nairobi|Kenya Literature Bureau|1978."	"Fiction"		"The closed road to Wapi"	"longfiction"	"contemporary"
"uc1.32106018712015"	"Dean, Louise"			"f"	"uk"	"b. 1970"	2005	2005	2005	2	2		"London|Scribner|2005"	"Fiction"	"Maze Prison (Lisburn, Northern Ireland)|Fiction|Politics and government|1969-1994"	"This human season"	"longfiction"	"contemporary"
"mdp.39015066783013"	"Block, Elizabeth (Elizabeth Ruth)"	"Block, Elizabeth Ruth"		"f"	"us"		2005	2005	2005	1	1		"New York|Spuyten Duyvil|c2005."	"Psychological fiction|Experimental fiction|Fiction"	"Fiction|Motion picture authorship|Motion picture industry|Identity (Psychology)|Screenwriters"	"A gesture through time"	"longfiction"	"contemporary"
"inu.32000009648280"	"Green, Frances H. (Frances Harriet)"	"McDougall, Frances Harriet Whipple Green"		"f"	"us"	"1805-1878."	1842	1839	1842	1	1		"Providence [R.I.;Printed by B.T. Albro;1842."	"Juvenile audience|NotFiction"	"Blacks|Eldridge, Elleanor|1784-1845?|Biography"	"Elleanor's second book"	"longfiction"	"contemporary"
"mdp.39015065707187"	"Ripley, Sidney Dillon"			"m"	"us"	"1913-2001."	1942	1942	1942	2	2		"New York|Harper|1942. --"	"NotFiction"	"Denison-Crockett expedition to the South Pacific 1937-1938|Collection and preservation|Birds"	"Trail of2001. the money bird : 30,000 miles of adventure with a naturalist"	"notfiction"	"contemporary"
"uc1.b3626218"	"Paulding, James Kirke"			"m"	"us"	"1778-1860."	1835	1831	1835	3	3	"v. 2"	"New York;Harper & brothers;1835."	"Fiction"	"History|Fiction|Fiction|History"	"Koningsmarke; or, Old times in the new world"	"longfiction"	"contemporary"
"uc2.ark+=13960=t51g0v51c"	"Daudet, Alphonse"			"m"	"fr"	"1840-1897."	1898	1891	1897	1	1	"v.08"	"New York;Society of English and French Literature;1898-1900"			"The novels, romances, and memoirs of Alphonse Daudet"	"longfiction"	"contemporary"
"mdp.39015014541265"	"McGarry, Jean"			"f"	"us"	"b. 1958"	1987	1987	1987	1	1		"Baltimore|Johns Hopkins University Press|c1987."	"NotFiction"		"The very rich hours"	"longfiction"	"contemporary"
"mdp.39015048891959"	"Stewart, Fred Mustard"			"m"	"us"	"1932-2007."	1978	1978	1978	1	1		"New York|Viking Press|1978"	"Fiction"		"A rage against heaven"	"longfiction"	"contemporary"
"mdp.39015056512109"	"Packer, ZZ"			"f"	"us"	"b. 1973"	2003	2003	2003	1	1		"New York|Riverhead Books|2003."	"Fiction"	"Fiction|Young women|African American women|African Americans"	"Drinking coffee elsewhere"	"shortfiction"	"contemporary"
"uiuo.ark+=13960=t04x5pc89"	"Mrs. S?"			"u"			1811	1811	1811	1	1	"v.1"	"London;printed for C. Chapple;1811."			"Gotha, or Memoirs of the Wurtzburg family, founded on facts"	"longfiction"	"contemporary"
"uc1.$b155513"	"Lehmann, Arthur Heinz"			"m"	"de"	"1909-1956."	1955	1954	1954	1	1		"New York|Holt|1955,c1954"	"Fiction"		"The noble stallion"	"longfiction"	"contemporary"
"mdp.39015064003018"	"Bray, (Anna Eliza), Mrs"	"Bray, Anna Eliza"		"f"	"uk"	"1790-1883."	1815	1815	1815	2	1	"v.8"	"London;Longman, Brown, Green, and Longmans;1815."	"Fiction"		"Trials of the heart"	"longfiction"	"contemporary"
"uc2.ark+=13960=t0sq8zn5q"	"Howard, M. W. (Milford Wriarson)"	"Howard, Milford Wriarson"		"m"	"us"	"1862-1937."	1921	1921	1921	2	2		"Los Angeles, Cal.;Published by J.F. Rowny Press;1921."			"Peggy Ware"	"longfiction"	"contemporary"
"uiuo.ark+=13960=t67375c09"	"Gore"	"Gore, Catherine Grace Frances"		"f"	"uk"	"1798-1861"	1857	1857	1857	2	2	"v.3"	"London;Hurst and Blankett;1857."			"The two aristocracies"	"longfiction"	"contemporary"
"inu.30000052999335"	"Ben Odeh, Hikmat"			"m"			1995	1995	1995	2	2		"Irbid|H. Ben Odeh|c1995."	"NotFiction"	"Palestine|Jordan|Fairy tales"	"Classic Fairy Tales from ancient Palestine and Jordan"	"shortfiction"	"contemporary"
"uc1.$b103842"	"Bourne, Peter"	"Jefferies, Graham Montague"	"Bourne, Peter"	"m"	"uk"	"1900-1982"	1952	1952	1952	1	1		"New York|Putnam|1952"	"UnknownGenre"		"The golden road"	"longfiction"	"contemporary"
"inu.39000000277678"	"Apolo, Edia"			"f"			1982	1982	1982	1	1		"Apapa, Lagos, Nigeria|Heritage Books|1982."	"Fiction"		"Lagos na waa i swear"	"shortfiction"	"contemporary"
"nnc1.0036685208"	"duc de, Lévis, Pierre-Marc-Gaston"			"m"	"fr"	"1764-1830."	1829	1829	1829	2	2	"v.1"	"New-York;Sold by G. & C. and H. Carvill [and 12 others;1829."	"Fiction"		"The Carbonaro : Piedmontese tale"	"longfiction"	"contemporary"
"loc.ark+=13960=t2d805x4x"	"Bartlett, Frederick Orin"			"m"	"us"	"1876-1945."	1922	1922	1922	1	1		"Norwood, Mass.;Priv. print.;1922."			"Jane and I"	"longfiction"	"contemporary"
"uc2.ark+=13960=t7dr2sh01"	"Bennett, Arnold"			"m"	"uk"	"1867-1931."	1912	1912	1912	4	2		"New York;George H. Doran Company;c1912"	"Fiction|NotFiction"		"The matador of the Five Towns"	"shortfiction"	"contemporary"
"mdp.39015018053242"	"Ashley, Robert Paul"			"u"		"1915-"	1953	1650	1953	2	2		"New York|Rinehart|1953"	"Fiction"	"Early modern, 1500-1700|English fiction"	"Elizabethan fiction"	"shortfiction"	"reprint"
"nyp.33433068250780"	"Moulton, Arthur W. (Arthur Wheelock)"	"Moulton, Arthur Wheelock"		"m"	"us"	"1873-1962"	1916	1916	1916	1	1		"Boston;R. G. Badger;1916."	"NotFiction"		"It came to pass"	"notfiction"	"contemporary"
