HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
nyp.33433074936547,6678392,23072614,<blank>,"Barrie, J. M.",New York;C. Scribner's Sons;1897 [c1896,1897,<blank>,<blank>,Not fiction,Sentimental Tommy,1896,1897,8,fic,
mdp.39015059389620,115190,894852,PZ3.B277S,"Barrie, J. M.",New York;C. Scribner's sons;1896.,1896,<blank>,<blank>,Fiction,Sentimental Tommy;,1896,1897,8,fic,y
nyp.33433074936562,115190,894852,PZ3.B277S,"Barrie, J. M.",New York;C. Scribner's sons;1896.,1896,<blank>,<blank>,Fiction,Sentimental Tommy;,1896,1897,8,fic,
uc2.ark:/13960/t35146w81,115190,894852,PZ3.B277S,"Barrie, J. M.",New York;C. Scribner's sons;1896.,1896,<blank>,<blank>,Fiction,Sentimental Tommy;,1896,1897,8,fic,
mdp.39015030847316,427297,225196,PZ3.P224Pu,"Bangs, John Kendrick,",New York;Harper & brothers;1897.,1897,<blank>,<blank>,Not fiction,The pursuit of the house-boat,1897,1897,9,fic,y
uc2.ark:/13960/t28911z1r,7646498,4474670,PZ3.B224Pu,"Bangs, John Kendrick,",New York;Harper & brothers;1900.,1900,<blank>,<blank>,Not fiction,The pursuit of the house-boat,1897,1897,9,fic,
uc1.b4101708,427297,225196,PZ3.P224Pu,"Bangs, John Kendrick,",New York;Harper & brothers;1897.,1897,<blank>,<blank>,Not fiction,The pursuit of the house-boat,1897,1897,9,fic,
nyp.33433074800867,8657470,832823,PZ3.B224Pu,"Bangs, John Kendrick,",New York;Harper & Brothers;1897.,1897,<blank>,<blank>,Fiction,The pursuit of the house-boat;,1897,1897,9,fic,
uva.x030749451,7657620,8088516,<blank>,"Ford, Paul Leicester,",New York;Henry Holt and company;c1894.,1894,<blank>,<blank>,Fiction,The honorable Peter Stirling and what people thought of him,1894,1897,10,fic,
uc2.ark:/13960/t9b56h627,6502232,5955997,<blank>,"Ford, Paul Leicester,","New York;International Book;1899, c1894.",1899,<blank>,<blank>,Fiction,The Honorable Peter Stirling and what people thought of him,1894,1897,10,fic,
uc2.ark:/13960/t0bv7b085,7657620,8088516,<blank>,"Ford, Paul Leicester,",New York;Henry Holt and company;c1894.,1894,<blank>,<blank>,Fiction,The honorable Peter Stirling and what people thought of him,1894,1897,10,fic,
nyp.33433062151471,8616024,1146335,<blank>,"Ford, Paul Leicester,",New York;H. Holt and Co.;1899.,1899,<blank>,<blank>,Not fiction,The Honorable Peter Stirling and what people thought of him,1894,1897,10,fic,
njp.32101063690794,8917470,29504070,<blank>,"Ford, Paul Leicester,",New York;Henry Holt and Company;1897.,1897,<blank>,<blank>,Fiction,The honorable Peter Stirling and what people thought of him,1894,1897,10,fic,y
uc1.b249769,6502232,5955997,<blank>,"Ford, Paul Leicester,","New York;International Book;1899, c1894.",1899,<blank>,<blank>,Fiction,The Honorable Peter Stirling and what people thought of him,1894,1897,10,fic,
uva.x030749454,9777308,12168435,PZ3.F755Ho,"Ford, Paul Leicester,",New York;H. Holt and company;1894.,1894,<blank>,<blank>,Not fiction,The Honorable Peter Stirling and what people thought of him,1894,1897,10,fic,
