HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc2.ark:/13960/t3pv6fr7b,6131605,1388017,PZ3.W215He,"Ward, Humphry,",New York;London;The Macmillan Company;1898.,1898,v.2,<blank>,Fiction,Helbeck of Bannisdale,,,4,fic,y
uc2.ark:/13960/t54f1s323,7693575,4485422,<blank>,"Ward, Humphry,",New York;1899.,1899,v.2,<blank>,Not fiction,Helbeck of Bannisdale,,,4,fic,
mdp.39015027815433,784789,2728024,<blank>,"Ward, Humphry,","London;Smith, Elder & co.;1898.",1898,<blank>,<blank>,Fiction,Helbeck of Bannisdale,,,4,fic,
uc2.ark:/13960/t0gt5jt0p,6131605,1388017,PZ3.W215He,"Ward, Humphry,",New York;London;The Macmillan Company;1898.,1898,v.1,<blank>,Fiction,Helbeck of Bannisdale,,,4,fic,y
uc1.b3325321,6131605,1388017,PZ3.W215He,"Ward, Humphry,",New York;London;The Macmillan Company;1898.,1898,<blank>,<blank>,Fiction,Helbeck of Bannisdale,,,4,fic,
mdp.39015012306877,1852814,5523335,<blank>,"Sienkiewicz, Henryk,","Boston;Little, Brown, and company;1898.",1898,<blank>,"Primitive and early church, ca. 30-600;Nero, 54-68;Rome;Church history;Fiction;History",Unknown;biog?,Quo vadis,1895,1898,5,fic,
uiuo.ark:/13960/t5bc3x12s,8722636,5369265,<blank>,"Sienkiewicz, Henryk,",London;Dent;1897.,1897,<blank>,"Primitive and early church, ca. 30-600;Nero, 54-68;Rome;Church history;Fiction;History",Fiction,Quo vadis,1895,1898,5,fic,
mdp.39015010755968,1244479,1882633,PZ3.S57Q2,"Sienkiewicz, Henryk,","Boston;Little, Brown, and company;1896.",1896,<blank>,"Primitive and early church, ca. 30-600;Nero, 54-68;Rome;Church history;Fiction;History",Not fiction,Quo vadis,1895,1898,5,fic,
uc1.b4363426,9509342,254654981,<blank>,"Sienkiewicz, Henryk,",Philadelphia;H. Altemus;c1897.,1897,<blank>,"Primitive and early church, ca. 30-600;Nero, 54-68;Rome;Church history;Fiction;History",Not fiction,Quo vadis,1895,1898,5,fic,
mdp.39076007044808,9909432,8009277,<blank>,"Sienkiewicz, Henryk,",London;New York;Nelson;1896,1896,<blank>,<blank>,Fiction,Quo vadis?,1895,1898,5,fic,
njp.32101074898295,9025741,4796618,PZ3.S57.Q4,"Sienkiewicz, Henryk,","Boston;Little, Brown and company;1897.",1897,vol.1,"Primitive and early church, ca. 30-600;Fiction;Rome;Church history;Nero, 54-68;History",Not fiction,Quo vadis.,1895,1898,5,fic,y
njp.32101074898303,9025741,4796618,PZ3.S57.Q4,"Sienkiewicz, Henryk,","Boston;Little, Brown and company;1897.",1897,vol.2,"Primitive and early church, ca. 30-600;Fiction;Rome;Church history;Nero, 54-68;History",Not fiction,Quo vadis.,1895,1898,5,fic,y
uva.x030765273,9794051,3092045,<blank>,"Castle, Agnes Sweetman,","New York;American News;1900, c1898",1900,<blank>,Fiction;History;Moravia (Czech Republic),Not fiction,"The pride of Jennico, being a memoir of Captain Basil Jennico;",,,6,fic,
uc2.ark:/13960/t4bp01948,6548387,1506732,<blank>,"Castle, Agnes,",New York;Macmillan Co.;London;Macmillan & co.;1899.,1899,<blank>,<blank>,Not fiction,The pride of Jennico;,,,6,fic,y
uc1.b323551,6548387,1506732,<blank>,"Castle, Agnes,",New York;Macmillan Co.;London;Macmillan & co.;1899.,1899,<blank>,<blank>,Not fiction,The pride of Jennico;,,,6,fic,
mdp.39015015368007,590996,8089410,<blank>,"Kipling, Rudyard,",Leipzig;B. Tauchnitz;1898.,1898,<blank>,"Short stories, English",Fiction,The day's work,,,7,fic,
uc1.32106001944211,7127383,14265831,<blank>,"Kipling, Rudyard,","New York;Doubleday & McClure;c1898, 1899.",1898,<blank>,<blank>,Not fiction,The day's work,,,7,fic,
uc1.$b698013,8441281,547641,PR4854.D33 1898,"Kipling, Rudyard,",London;Macmillan;1898.,1898,<blank>,<blank>,Not fiction,The day's work,,,7,fic,
uc1.$b698012,591000,236906,PZ3.K629D5PR4854.D33,"Kipling, Rudyard,",New York;Doubleday & McClure;1898.,1898,<blank>,<blank>,Fiction,The day's work,,,7,fic,y
nyp.33433074866751,591000,236906,PZ3.K629D5PR4854.D33,"Kipling, Rudyard,",New York;Doubleday & McClure;1898.,1898,<blank>,<blank>,Fiction,The day's work,,,7,fic,
nyp.33433074866744,591000,236906,PZ3.K629D5PR4854.D33,"Kipling, Rudyard,",New York;Doubleday & McClure;1898.,1898,<blank>,<blank>,Fiction,The day's work,,,7,fic,
mdp.39015031243101,591000,236906,PZ3.K629D5PR4854.D33,"Kipling, Rudyard,",New York;Doubleday & McClure;1898.,1898,<blank>,<blank>,Fiction,The day's work,,,7,fic,
mdp.39015063973542,325108,870638,PZ3.W547Sh,"Weyman, Stanley John,","New York;Longmans, Green and Co.;1898.",1898,<blank>,"William and Mary, 1689-1702;Great Britain;History",Fiction,Shrewsbury;,,,8,fic,y
uc2.ark:/13960/t18k7962f,325108,870638,PZ3.W547Sh,"Weyman, Stanley John,","New York;Longmans, Green and Co.;1898.",1898,<blank>,"William and Mary, 1689-1702;Great Britain;History",Fiction,Shrewsbury;,,,8,fic,
nyp.33433074853197,5974552,913774,PZ3.H314,"Hope, Anthony,",New York;F.A. Stokes Company;c1897,1897,<blank>,<blank>,Fiction,Simon Dale,,,9,fic,y
uc2.ark:/13960/t3rv0g274,5974552,913774,PZ3.H314,"Hope, Anthony,",New York;F.A. Stokes Company;c1897,1897,<blank>,<blank>,Fiction,Simon Dale,,,9,fic,
wu.89095151130,5974552,913774,PZ3.H314,"Hope, Anthony,",New York;F.A. Stokes Company;c1897,1897,<blank>,<blank>,Fiction,Simon Dale,,,9,fic,
nyp.33433074857578,7695581,9304867,<blank>,"Hope, Anthony,",London;Methuen;1898.,1898,<blank>,<blank>,Fiction,Simon Dale,,,9,fic,
uc2.ark:/13960/t6542s559,7695581,9304867,<blank>,"Hope, Anthony,",London;Methuen;1898.,1898,<blank>,<blank>,Fiction,Simon Dale,,,9,fic,
uc1.b3569203,10118846,<blank>,<blank>,"Mitchell, S. Weir",New York;The Century co.;1898.,1898,<blank>,"Fiction;Revolution, 1789-1799;History;France",Not fiction,The adventures of François,,,10,fic,
uc2.ark:/13960/t0rr1pp38,7646014,276438,PZ3.M695Ad,"Mitchell, S. Weir",New York;Century Co.;1898.,1898,<blank>,"Fiction;Revolution, 1789-1799;History;France",Fiction,The adventures of François,,,10,fic,y
uc2.ark:/13960/t5n873g5d,7667948,3900150,<blank>,"Mitchell, S. Weir",New York;The Century co.;1899[c1898,1899,<blank>,"Fiction;Revolution, 1789-1799;History;France",Not fiction,The adventures of François,,,10,fic,
uc1.b3327303,7923160,5428466,PZ8.M695Ad2,"Mitchell, S. Weir",New York;Grossett & Dunlap;1898.,1898,<blank>,"Fiction;Revolution, 1789-1799;History;France",Fiction,The adventures of Francois,,,10,fic,
mdp.39015063945557,449391,3429609,PZ3.P225B5,"Parker, Gilbert,","Boston;New York;Houghton, Mifflin and company;1899.",1899,<blank>,<blank>,Fiction,The battle of the strong;,,,10,fic,
uc2.ark:/13960/t6g15w00s,7667901,2117735,PZ3.P225B3,"Parker, Gilbert,","Boston;New York;Houghton, Mifflin and Company;1898.",1898,<blank>,<blank>,Fiction,The battle of the strong;,,,10,fic,y
