,"docid","actualdate","earliestdate","firstpub","sales","recordid","OCLC","author","imprint","enumcron","title","birthdate","gender","nationality","othername","notes","path","recept","authsvols"
36,"mdp.39015006969649",1903,1867,1867,"notbest",,,"Kemble, Adelaide",1903,,"A week in a French country-house",1815,"f","uk",,,"mdp/pairtree_root/39/01/50/06/96/96/49/39015006969649/mdp.39015006969649.json.bz2","vulgar",3
37,"uiuo.ark+=13960=t6k07g132",1869,1869,1869,"notbest",8722955,21300513,"Gibbon, Charles","London;Blackie & Son;1869.","v.2","Robin Gray",1843,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/6k/07/g1/32/ark+=13960=t6k07g132/uiuo.ark+=13960=t6k07g132.json.bz2","elite",37
38,"uiuo.ark+=13960=t4rj4zt7g",1865,1865,1865,"notbest",,,"Manning, Anne","London;R. Bentley;1865.",,"Belforest",1807,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/4r/j4/zt/7g/ark+=13960=t4rj4zt7g/uiuo.ark+=13960=t4rj4zt7g.json.bz2","vulgar",66
39,"nyp.33433075752299",1869,1869,1869,"notbest",,,"Speight, T. W","Philedelphia;Turner brothers & co.;c1869",,"Under lock and key",1830,"m","uk",,,"nyp/pairtree_root/33/43/30/75/75/22/99/33433075752299/nyp.33433075752299.json.bz2","vulgar",12
40,"uiuo.ark+=13960=t4zg79m6r",1869,1869,1870,"notbest",8721745,30059355,"McCarthy, Justin","London;Tinsley brother;1869.","v.2","My enemy's daughter",1830,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/4z/g7/9m/6r/ark+=13960=t4zg79m6r/uiuo.ark+=13960=t4zg79m6r.json.bz2","elite",42
41,"uc2.ark+=13960=t5bc3w39n",1866,1866,1866,"notbest",,,"Tytler, Sarah","Boston;Ticknor and Fields;1860.",,"Days of yore",1827,"f","uk","Henrietta Keddie",,"uc2/pairtree_root/ar/k+/=1/39/60/=t/5b/c3/w3/9n/ark+=13960=t5bc3w39n/uc2.ark+=13960=t5bc3w39n.json.bz2","vulgar",50
42,"njp.32101068972775",1871,1869,1869,"notbest",8975912,37267792,"Lawrence, George A","New York;Harper & Bros.;1871.",,"Anteros",1827,"m","uk",,,"njp/pairtree_root/32/10/10/68/97/27/75/32101068972775/njp.32101068972775.json.bz2","elite",24
43,"uiuo.ark+=13960=t7jq17z93",1868,1868,1868,"notbest",,,"Capes, J. M","London;R. Bentley;1868.",,"The mosaic-worker's daughter",1813,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/7j/q1/7z/93/ark+=13960=t7jq17z93/uiuo.ark+=13960=t7jq17z93.json.bz2","vulgar",3
44,"uiuo.ark+=13960=t0bv85013",1866,1866,1866,"notbest",8720885,13404042,"Yates, Edmund Hodgson","London;Chapman and Hall;1866.","v.2","Land at last",1831,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/0b/v8/50/13/ark+=13960=t0bv85013/uiuo.ark+=13960=t0bv85013.json.bz2","elite",44
45,"uiuo.ark+=13960=t3708f59s",1866,1866,1866,"notbest",6130878,3918899,"Edwards, Amelia Ann Blanford","London;Tinsley;1866.","v.1","Half a million of money ;",1831,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/37/08/f5/9s/ark+=13960=t3708f59s/uiuo.ark+=13960=t3708f59s.json.bz2","elite",47
46,"uiuo.ark+=13960=t13n2tm28",1869,1869,1869,"notbest",,,"Veitch, Sophie F. F","London;Bentley;1869.",,"Wise as a serpent",1839,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/13/n2/tm/28/ark+=13960=t13n2tm28/uiuo.ark+=13960=t13n2tm28.json.bz2","vulgar",4
47,"uc1.b4102980",1865,1865,1865,"notbest",6155301,9106136,"Ingelow, Jean","Boston;Roberts;1865.",,"Studies for stories",1820,"f","uk",,,"uc1/pairtree_root/b4/10/29/80/b4102980/uc1.b4102980.json.bz2","elite",24
48,"njp.32101035036068",1865,1865,1865,"notbest",,,"Ritner, W. D","Philadelphia;Barclay & Co.;1865.",,"Juan, the white slave;",0,,"us",,,"njp/pairtree_root/32/10/10/35/03/60/68/32101035036068/njp.32101035036068.json.bz2","vulgar",1
49,"uiuo.ark+=13960=t6154zd7b",1866,1866,1866,"notbest",6130878,3918899,"Edwards, Amelia Ann Blanford","London;Tinsley;1866.","v.3","Half a million of money ;",1831,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/61/54/zd/7b/ark+=13960=t6154zd7b/uiuo.ark+=13960=t6154zd7b.json.bz2","elite",47
50,"uc2.ark+=13960=t5q81d957",1869,1869,1869,"notbest",,,"Jerrold, Blanchard","London;J. C. Hotten;1869",,"Cent per cent",1826,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/5q/81/d9/57/ark+=13960=t5q81d957/uc2.ark+=13960=t5q81d957.json.bz2","vulgar",5
51,"uiuo.ark+=13960=t89g61j5w",1860,1860,1860,"notbest",,,"Grey","London;Tinsley;1870.",,"The little beauty",1798,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/89/g6/1j/5w/ark+=13960=t89g61j5w/uiuo.ark+=13960=t89g61j5w.json.bz2","vulgar",43
52,"uiuo.ark+=13960=t7wm1z13v",1866,1866,1866,"notbest",,,"Viles, Edward","London;Harrison;1866-67?",,"Blueskin",1841,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/7w/m1/z1/3v/ark+=13960=t7wm1z13v/uiuo.ark+=13960=t7wm1z13v.json.bz2","vulgar",5
53,"uva.x000722401",1866,1866,1866,"notbest",,,"Goodwin, H. B","New York;D. Appleton;1866.",,"Sherbrooke",1827,"f","us",,,"uva/pairtree_root/x0/00/72/24/01/x000722401/uva.x000722401.json.bz2","vulgar",6
54,"uc1.$b809229",1860,1860,1860,"notbest",7939034,273483,"Holland, J. G","New York;Scribner;1860.",,"Miss Gilbert's career",1819,"m","us",,,"uc1/pairtree_root/$b/80/92/29/$b809229/uc1.$b809229.json.bz2","elite",40
55,"nyp.33433075761100",1866,1861,1861,"notbest",8665982,7368903,"Farrar, F. W","New York;M. Doolady;1866.",,"Julian Home",1831,"m","uk",,,"nyp/pairtree_root/33/43/30/75/76/11/00/33433075761100/nyp.33433075761100.json.bz2","elite",20
56,"uiuo.ark+=13960=t9v12mr3w",1865,1865,1865,"notbest",8720221,38000072,"Foxton, E","Boston;Lee and Shepard;1866, c1865.","v.1","Herman, or, Young knighthood",1823,"u",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/9v/12/mr/3w/ark+=13960=t9v12mr3w/uiuo.ark+=13960=t9v12mr3w.json.bz2","elite",2
57,"nyp.33433076049794",1879,1879,,"notbest",,,"Rayne, M. L","New York;G. W. Carleton & Co.; [etc., etc.;1879.",,"Fallen among thieves",1836,"f","us",,,"nyp/pairtree_root/33/43/30/76/04/97/94/33433076049794/nyp.33433076049794.json.bz2","vulgar",6
58,"uiuo.ark+=13960=t58d0f39v",1875,1875,1875,"notbest",6059197,15139502,"MacDonald, George","London;H.S. King & co.;1875.","v.2","Malcolm",1824,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/58/d0/f3/9v/ark+=13960=t58d0f39v/uiuo.ark+=13960=t58d0f39v.json.bz2","elite",144
59,"nyp.33433074866538",1873,1873,1873,"notbest",8665630,6218208,"Kip, Leonard","New York;G. P. Putnam's Sons;1873.",,"The dead marquise;",1826,"m","us",,,"nyp/pairtree_root/33/43/30/74/86/65/38/33433074866538/nyp.33433074866538.json.bz2","elite",4
60,"uiuo.ark+=13960=t1sf38n52",1879,1879,1879,"notbest",8719371,41248950,"Keary, Annie","London;Macmillan;1879.","v.2","A doubting heart",1825,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/1s/f3/8n/52/ark+=13960=t1sf38n52/uiuo.ark+=13960=t1sf38n52.json.bz2","elite",17
61,"uc2.ark+=13960=t3610xb6c",1871,1871,1871,"notbest",,,"Harbert, Lizzie Boynton","Des Moines;Mills & Co.;1871.",,"Out of her sphere",1843,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/36/10/xb/6c/ark+=13960=t3610xb6c/uc2.ark+=13960=t3610xb6c.json.bz2","vulgar",1
62,"nyp.33433074871439",1876,1876,1876,"notbest",,,"Keary, Annie","London;Macmillan and Co.;1876.",,"A York and a Lancaster rose",1825,"f","uk",,,"nyp/pairtree_root/33/43/30/74/87/14/39/33433074871439/nyp.33433074871439.json.bz2","vulgar",17
63,"nyp.33433074890074",1889,1872,1872,"notbest",8667272,28136856,"Meredith, George","London;Chapman and Hall;1889.",,"The adventures of Harry Richmond",1828,"m","uk",,,"nyp/pairtree_root/33/43/30/74/89/00/74/33433074890074/nyp.33433074890074.json.bz2","elite",500
64,"uiuo.ark+=13960=t7vm4tf4w",1873,1873,1873,"notbest",8721494,21920824,"Oliphant, Margaret","London;Hurst and Blackett;1873.","v.3","May",1828,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/7v/m4/tf/4w/ark+=13960=t7vm4tf4w/uiuo.ark+=13960=t7vm4tf4w.json.bz2","elite",305
65,"uiuo.ark+=13960=t2794f36r",1877,1877,1877,"notbest",8664133,11712744,"Allardyce, Alexander","Edinburgh [Lothian;William Blackwood;1877.","v.3","The city of sunshine",1846,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/27/94/f3/6r/ark+=13960=t2794f36r/uiuo.ark+=13960=t2794f36r.json.bz2","elite",7
66,"uc2.ark+=13960=t5db83h0b",1872,1871,1871,"notbest",7695411,364205167,"Parr, Louisa Taylor","Leipzig;Bernhard Tauchnitz;1872.",,"Dorothy Fox",1848,"f","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/5d/b8/3h/0b/ark+=13960=t5db83h0b/uc2.ark+=13960=t5db83h0b.json.bz2","elite",2
67,"nyp.33433076066061",1872,1872,1872,"notbest",8690283,6155541,"Flagg, W. J","New York;Harper & Brothers;1872.",,"A good investment",1818,"m","us",,,"nyp/pairtree_root/33/43/30/76/06/60/61/33433076066061/nyp.33433076066061.json.bz2","elite",1
68,"nyp.33433075936462",1870,1870,1870,"notbest",8677652,9670298,"Jenkins, Edward","London;Strahan;1870.",,"Ginx's baby",1838,"m","uk",,,"nyp/pairtree_root/33/43/30/75/93/64/62/33433075936462/nyp.33433075936462.json.bz2","elite",15
69,"nyp.33433074888961",1877,1877,1877,"notbest",,,"Linton, E. Lynn","New York;Harper & Bros.;1877.",,"From dreams to waking",1822,"f","uk",,,"nyp/pairtree_root/33/43/30/74/88/89/61/33433074888961/nyp.33433074888961.json.bz2","vulgar",50
70,"uiuo.ark+=13960=t3bz6fw2n",1871,1871,1871,"notbest",,,"Bell, Emily Ernst","London;Hurst and Blackett;1872 [i. e. 1871",,"A first appearance",1840,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/3b/z6/fw/2n/ark+=13960=t3bz6fw2n/uiuo.ark+=13960=t3bz6fw2n.json.bz2","vulgar",3
71,"uiuo.ark+=13960=t3st7v616",1878,1878,,"notbest",,,"Armitt, Annie","London;S. Tinsley;1878.",,"The garden at Monkholme",1850,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/3s/t7/v6/16/ark+=13960=t3st7v616/uiuo.ark+=13960=t3st7v616.json.bz2","vulgar",3
72,"uc1.b4104445",1874,1874,1874,"notbest",5946500,961310,"Davis, Rebecca Harding","New York;Orange Judd company;c1874",,"John Andross",1831,"f","us",,,"uc1/pairtree_root/b4/10/44/45/b4104445/uc1.b4104445.json.bz2","elite",19
73,"uiuo.ark+=13960=t2x35dr9t",1871,1871,1871,"notbest",,,"Scott, Geo. G","London;T. Cautley Newby;1871.",,"Clumber chase; or, Love's riddle solved by a royal sphinx",1811,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/2x/35/dr/9t/ark+=13960=t2x35dr9t/uiuo.ark+=13960=t2x35dr9t.json.bz2","vulgar",3
74,"mdp.39015061863992",1887,1887,,"notbest",,,"Holley, Marietta","Philadelphia;Hubbard Pub. Co.;1887.",,"Samantha at Saratoga",1836,"f","us",,,"mdp/pairtree_root/39/01/50/61/86/39/92/39015061863992/mdp.39015061863992.json.bz2","vulgar",56
75,"njp.32101065847475",1884,1884,1884,"notbest",9247258,19480881,"Murfree, Mary Noailles","Boston;New York;Houghton, Mifflin and Company;1894, c1884.",,"Where the battle was fought",1850,"f","us",,,"njp/pairtree_root/32/10/10/65/84/74/75/32101065847475/njp.32101065847475.json.bz2","elite",72
76,"njp.32101063580268",1900,1886,1886,"notbest",8916598,17653915,"Hume, Fergus","London;Jarrolds Limited;190-?",,"The mystery of a hansom cab",1859,"m","uk",,,"njp/pairtree_root/32/10/10/63/58/02/68/32101063580268/njp.32101063580268.json.bz2","elite",77
77,"uiuo.ark+=13960=t9f47xn9c",1884,1884,,"notbest",,,"Banks, G. Linnaeus","London;F.V. White;1884.",,"Sybilla and other stories",1821,"f","uk","Isabella Banks",,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/9f/47/xn/9c/ark+=13960=t9f47xn9c/uiuo.ark+=13960=t9f47xn9c.json.bz2","vulgar",22
78,"uc2.ark+=13960=t1ng4rz6v",1884,1884,,"notbest",,,"Chatterji, Bankim Chandra","London;T. Fisher Unwin;1884.",,"The poison tree;",1838,"m","bengali",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/1n/g4/rz/6v/ark+=13960=t1ng4rz6v/uc2.ark+=13960=t1ng4rz6v.json.bz2","vulgar",10
79,"uc2.ark+=13960=t9j38r92d",1880,1880,,"notbest",,,"Valentine, L","London;F. Warne;188-?",,"We three boys",0,,,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/9j/38/r9/2d/ark+=13960=t9j38r92d/uc2.ark+=13960=t9j38r92d.json.bz2","vulgar",4
80,"uiuo.ark+=13960=t7dr3dc21",1881,1881,,"notbest",,,"Middlemass, Jean","London;Tinsley brothers;1881.",,"Sackcloth and broadcloth",1833,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/7d/r3/dc/21/ark+=13960=t7dr3dc21/uiuo.ark+=13960=t7dr3dc21.json.bz2","vulgar",9
81,"uiuo.ark+=13960=t8gf1c956",1886,1886,1886,"notbest",8718279,9584953,"Norris, W. E","London;Bentley;1886.","v.2","A bachelor's blunder",1847,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/8g/f1/c9/56/ark+=13960=t8gf1c956/uiuo.ark+=13960=t8gf1c956.json.bz2","elite",107
82,"uiuo.ark+=13960=t13n2dw98",1884,1884,1884,"notbest",8724227,5542538,"Lyall, Edna","London;Hurst and Blackett;1884.","v.3","We two",1857,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/13/n2/dw/98/ark+=13960=t13n2dw98/uiuo.ark+=13960=t13n2dw98.json.bz2","elite",53
83,"uiuo.ark+=13960=t47p9mm6s",1889,1889,1889,"notbest",8721437,2303933,"Russell, William Clark","London;New York;Macmillan;1889.","v.1","Marooned",1844,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/47/p9/mm/6s/ark+=13960=t47p9mm6s/uiuo.ark+=13960=t47p9mm6s.json.bz2","elite",117
84,"uc2.ark+=13960=t0dv1ds4q",1890,1889,1889,"notbest",7660424,4648789,"Grand, Sarah","Chicago;Donohue, Henneberry;189-",,"Ideala",1854,"f","ir",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/0d/v1/ds/4q/ark+=13960=t0dv1ds4q/uc2.ark+=13960=t0dv1ds4q.json.bz2","elite",19
85,"uiuo.ark+=13960=t2b85wr4n",1880,1880,,"notbest",,,"Christie-Murray, David","London;Griffith & Farran;1880.",,"A life's atonement",1847,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/2b/85/wr/4n/ark+=13960=t2b85wr4n/uiuo.ark+=13960=t2b85wr4n.json.bz2","vulgar",5
