docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,shorttitle,category
wu.89087921466,"Arthur, T. S. (Timothy Shay)",,,m,us,1809-1885.,1852,,1852,3,3,,Boston;L.P. Crown & Co.;1,Fiction,,"True riches : or, Wealth without wings",novel
nyp.33433082284526,"Aimwell, Walter","Simonds, William","Aimwell, Walter",m,us,1822-1859.,1870,,1859,1,1,,Boston;Gould and Lincoln;,Juvenile audience|Fiction,"Children's stories, Ameri","Whistler; or, The manly boy",juvenile
nyp.33433074855184,"Galt, John",,,m,uk,1779-1839.,1830,,1830,15,15,v. 2,London;H. Colburn and R. ,ContainsBiogMaterial|NotF,1773-1863|Fiction|Fiction,"Lawrie Todd; or, The settlers in the woods",novel
uc2.ark+=13960=t2g739p3c,"Fiske, Mary H",,,f,us,d. 1889,1889,,1889,3,3,,New York;The New York dra,,,The Giddy Gusher papers,novel
uiuo.ark+=13960=t63495d32,"Linton, E. Lynn (Elizabeth Lynn)","Linton, Eliza Lynn",,f,uk,1822-1898.,1881,,1881,5,5,v.1,London;Chatto and Windus;,NotFiction,,My love!,novel
mdp.39015040642939,"Gurney, A. R. (Albert Ramsdell)","Gurney Jr., Albert Ramsdell",,m,us,1930-2017,1984,,1984,1,1,,New York|Arbor House|c198,Bibliographies|Fiction,Ethnic relations|Fiction,The Snow Ball,novel
mdp.39015051324393,"Bates, H. E. (Herbert Ernest)","Bates, Herbert Ernest",Flying Officer X,m,uk,1905-1974.,1952,,1952,2,2,,London|J.Cape|1952,Fiction|NotFiction,,The stories of Flying Officer 'X',shortstories
njp.32101067640787,,,,m,uk,,1815,,1815,2,2,v.3,"London;Longman, Hurst, Re",NotFiction,,"Sketches of character : or, Specimens of real life : a novel",novel
hvd.32044009812777,"Bowdich, Sarah","Lee, Sarah Bowdich",,f,uk,1791-1856.,1841,,1841,1,1,,"London;Ackermann and Co.,",NotFiction,,"The juvenile album, or tales from far and near :",juvenile
nyp.33433069247322,"Fletcher, William",,,m,,,1829,,1829,1,1,,New York;W. B. Gilley;182,NotFiction,Grammar|English language,"The little grammmarian; or, An easy guide to the parts of speech, and familiar illustrations of the leading rules of syntax: in a series of instructive and amusing tales",nonfic
uc1.$b63766,"Sherman, Ray W. (Ray Wesley)",,,m,,1884-1971.,1944,,1944,1,1,,New York|Ives Washburn|19,Fiction,,The other Mahoney : a novel,novel
inu.30000107494209,"Okafor, Rose Chinwe",,,f,,,2003,,2003,1,1,,Onitsha [Nigeria|Obison P,Novel,,The young and the old,novel
mdp.39015005422327,"Hamalian, Leo",,,m,us,1920-2003,1958,,1958,1,1,,New York|Putnam|1958,Fiction,Fiction|Collections,Ten modern short novels,reprint
uc2.ark+=13960=t3707zj06,"Lytton, Edward Bulwer Lytton, Baron",,,m,uk,1803-1873.,1859,1841,1859,1,1,v.18,Edinburgh;London;W. Black,,,Novels of Sir Edward Bulwer Lytton,novel
njp.32101067630648,"Bride, Arthur Stanley",,,m,uk,1804-1867,1838,,1838,2,2,v.1,London;Newman;1838.,NotFiction,,"Guthrum castle; or, Edrick the Saxon. A tale of the eleventh century",novel
uc1.$b470336,,,,,,,1967,,1967,1,1,,New York|Dutton|1967.,NotFiction,Detective and mystery sto,Murder in mind; an anthology of mystery stories,shortstories
uc2.ark+=13960=t47p90s15,"Galt, John",,,,,1779-1839.,1832,,1832,6,6,v.1,London;H. Colburn and R. ,,,Stanley Buxton;,novel
uiuo.ark+=13960=t8bg39w1x,"Siddons, Henry",,,m,uk,1774-1815,1806,,1806,3,3,v.1,London;Phillips;1806.,,,"The maid, wife, and widow",novel
inu.30000077060451,"Odion-Akhaine, Sylvester",,,m,ni,1964-,2000,,2000,1,1,,"Bariga, Lagos State|Panaf",Novel,,Another woman of substance,novel
uva.x000099740,"Hamilton, Elizabeth",,,f,uk,1756?-1816.,1800,,1800,14,12,v.2,Bath;Printed by R. Cruttw,Fiction|NotFiction,,Memoirs of modern philosophers,novel
pst.000020798543,"Zelazny, Roger | Thomas, Thomas Thurston",,,m,us,1937-1995 | b. 1948,1992,,1992,1,1,,"Riverdale, NY|Baen Books|",NotFiction,Observations|Fiction|Fict,Flare,novel
uc2.ark+=13960=t1ng4gw8m,"Palmer, Frederick",,,m,us,1873-1958.,1916,,1916,1,1,,New York;A.L. Burt Co.;19,,,The old blood,novel
loc.ark+=13960=t0js9z72s,"Woodward, R. Pitcher (Robert Pitcher)",,,m,,,1902,,1902,3,3,,New York;I. H. Blanchard ,NotFiction,Overland journeys to the ,On a donkey's hurricane deck;,nonfic
nyp.33433076045248,"Morgan, Jacque Lloyd",,,m,us,1873-1925,1910,,1910,1,1,,New York;R.F. Fenno & Com,Fiction,American fiction,"The invaders : a story of the ""Hole-in-the-wall"" country",novel
uiuo.ark+=13960=t66403x8w,,,,u,,,1863,,1863,1,1,v.2,London;Chapman & Hall;186,,,"False positions, or, Sketches of character",novel
uc2.ark+=13960=t02z13c32,"Holmes, Mary Jane",,,f,us,1825-1907.,1879,,1879,1,1,,New York;G. W. Carleton a,,,Forrest house,novel
mdp.49015002157585,"Twain, Mark",,"Clemens, Samuel Langhorne",m,us,1835-1910.,1899,1881,1899,21,13,v.15,New York;Harper;c1899-191,NotFiction|Adventure stor,Great Britain|Princes|Poo,The prince and the pauper,novel
uiuo.ark+=13960=t83j40690,"MacDonald, George",,,m,uk,1824-1905.,1877,,1877,4,4,v.1,London;Hurst and Blackett,NotFiction,,The Marquis of Lossie,novel
inu.30000110594508,"Stovell, Sarah",,,f,uk,b. 1977,2008,,2008,1,1,,London|Snowbooks|c2008.,Fiction,Kent|Boarding school stud,Mothernight,novel
nyp.33433081852992,"Harben, Will N. (William Nathaniel)","Harben, William Nathaniel",,m,us,1858-1919.,1902,,1902,1,1,,New York;Harper;1902.,Fiction,,Abner Daniel : a novel,novel
pst.000018705881,"Moorcock, Michael",,,m,uk,1939-,1989,,1989,1,1,,New York|Ace Books|1989.,NotFiction,,The fortress of the pearl : an all-new novel of Elric,novel
mdp.39015019723181,"Miller, Harriet (Mann)","Miller, Harriet Mann","Miller, Olive Thorne",f,us,1831-1918.,1895,,1895,2,2,,"Boston;New York;Houghton,",NotFiction,Birds,In nesting time;,novel
uc1.32106000446028,"Bower, Ursula Graham",,,f,uk,1914-1988,1953,,1953,2,2,,New York|Morrow|1953.,NotFiction,Native races|Social life ,The hidden land; mission to a far corner of India,nonfic
mdp.39015030727955,"Chase, Mary Ellen",,,f,us,1887-1973.,1934,,1934,4,4,,New York|Macmillan|c1934.,Fiction|NotFiction,,Mary Peters,novel
njp.32101064721549,"Stevens, Sheppard",,,m,us,1862-1909.,1902,,1902,1,1,,"Boston;Little, Brown;1902",Fiction,,In the eagle's talon : a romance of the Louisiana Purchase,novel
mdp.39015060059204,"Gregory, Patrick (Patrick Bolton)",,,m,us,,2004,,2004,1,1,,"Syracuse, N.Y.|Syracuse U",Novel|Historical fiction,Emigration and immigratio,The daguerreotype : a novel,novel
mdp.39015008571294,"Compton-Burnett, I. (Ivy)",,,f,uk,1884-1969.,1938,1937,1938,3,2,,New York|W. W. Norton & c,Fiction|UnknownGenre,,Daughters and sons,novel
mdp.39015011514570,,"Hills, Lawrence Rust",,m,us,1924-2008,1983,,1983,1,1,,New York|Viking Press|Pen,Bibliographies|Fiction,"Short stories, American|A",Great Esquire fiction : the finest stories from the first fifty years,shortstories
mdp.39015063946209,"Quiller-Couch, Arthur Thomas, Sir",,,m,uk,1863-1944.,1918,,1918,2,2,,New York;The Macmillan co,Fiction,,Foe-Farrell; a romance,novel
nyp.33433069241317,"Jr. Randall, M",,,m,,,1834,,1834,1,1,,"Stanstead, L.C.;Printed b",NotFiction,Readers,The Canadian reader : designed for the use of schools and families,nonfic
nyp.33433074879515,"Locke, William John",,,m,uk,1863-1930.,1911,,1911,3,3,,New York;John Lane compan,Fiction,,The glory of Clementina,novel
inu.30000055877900,Wace,,,u,,ca. 1100-ca. 1175.,1937,,1937,1,1,,"London|J. M. Dent & sons,",Bibliographies|NotFiction,Arthurian romances|Romanc,Arthurian chronicles,reprint
mdp.39015000544919,"Peterson, Brenda",,,f,us,1950-,1978,,1978,2,2,,New York|Knopf|1978.,Fiction,,River of light,novel
uc2.ark+=13960=t87h1f980,"Bangs, John Kendrick",,,m,us,1862-1922.,1897,,1897,8,7,,New York;London;Harper;19,Fiction|NotFiction,"Doyle, Arthur Conan|Sir|1",The pursuit of the house-boat,novel
uc1.b4463806,"Magnuson, James",,,m,us,b. 1941,1974,,1974,2,2,,New York|McGraw-Hill|1974,Fiction,,Without barbarians,novel
uc2.ark+=13960=t9z030p6z,"Neal, Joseph C. (Joseph Clay)","Neal, Joseph Clay",,m,us,1807-1847.,1846,1837,1846,1,1,,Philadelphia;T. B. Peters,,,Charcoal sketches,novel
dul1.ark+=13960=t3zs3df24,"De Mille, James",,,m,ca,1833-1880.,1888,,1880,3,2,,New York;Harper & Brother,Fiction|Science fiction,"Utopias|Science fiction, ",A strange manuscript found in a copper cylinder,novel
loc.ark+=13960=t2z329j73,"France, Lewis B",,,m,us,1833-1907.,1884,,1884,2,2,,"Denver;Chain, Hardy & co.",NotFiction,Colorado|Fishing,With rod and line in Colorado waters,nonfic
uiuo.ark+=13960=t45q5ks5b,West,"West, Jane",,f,uk,1758-1852,1812,,1812,3,3,v.1,"London;Longman, Hurst, Re",,Great Britain|Fiction|His,The loyalists,novel
mdp.39015001980435,"Kumin, Maxine",,,f,us,1925-2014,1974,,1974,2,2,,New York|Viking Press|197,NotFiction,,The designated heir,novel
mdp.39015050326985,"Rivera, Beatriz",,,f,cu,1957-,2000,,2000,1,1,,"Houston, Tex.|Arte P�blic",Fiction,Book clubs (Discussion gr,Playing with light : a novel,novel
uiuo.ark+=13960=t2891v87m,"Thomson, Joseph",,,m,uk,1858-1895.,1888,,1888,1,1,v.2,"London;Sampson Low, Marst",,,Ulu,novel
uc2.ark+=13960=t78s4p26q,Merry,,,m,,,1868,,1868,1,1,,Halifax;W. Nicholson;Lond,,English wit and humor,The merry companion for all readers,reprint
mdp.39015065858527,"Maruyama, Michir?",,,m,jp,,1954,,1954,1,1,,New York|Hermitage house|,NotFiction,"World War, 1939-1945|Pers",Anatahan,nonfic
wu.89098024177,"Ewell, M. L. B. (Martha Lewis Beckwith)","Ewell, Martha Lewis Beckwith",,f,us,1841-1902.,1876,,1876,1,1,,New Haven;J.H. Benham;187,Fiction,,"Lovette, or, The work of an honest heart",novel
uc2.ark+=13960=t3dz04t5t,"Bill, Edward Lyman",,,m,us,1862-1916.,1910,1898,1910,1,1,,New York;R.F. Fenno & co.,,,The sword of the Pyramids,novel
mdp.39015080888038,"Bordan, Hanoch",,,m,ca,,2008,,2008,1,1,,Toronto|Vestibule Press|c,Novel,,So it's all right : a diary of 1961,novel
uc1.b3321364,"Cooper, James Fenimore",,,m,us,1789-1851.,1859,1831,1851,2,1,v. 6,New York;W.A. Townsend;18,Bibliographies|Fiction,,The bravo,reprint
mdp.39015039714467,,"Kirby, William Forsell",,m,uk,1844-1912,1956,,1956,1,1,v.1,London|Dent|New York|Dutt,Fiction,,Kalevala; the land of the heroes,nonfic
uc1.b3322471,,,,u,,,1839,,1839,1,1,v. 1,London;H. Cunningham;1839,Fiction,,"Castle Martyr : or, A tale of old Ireland",novel
uc1.b2796042,"Caswell, Harriet S",,,f,ca,1834-,1872,,1872,2,2,,Montreal;s.n.;1872;(Montr,Fiction,,Stories and sketches,shortstories
uc2.ark+=13960=t6vx0f650,"Grant, Reginald",,,m,ca,,1918,,1918,1,1,,New York;London;D. Applet,,"World War, 1914-1918|Pers",S.O.S,nonfic
mdp.39015017697734,"Roth, Philip",,,m,us,1933-2018,1990,,1990,2,2,,New York|Simon and Schust,Fiction,Fiction,Deception : a novel,novel
uc2.ark+=13960=t9r20td03,"Bercovici, Konrad",,,m,us,1882-1961.,1919,,1919,2,2,,New York;Boni and Liverig,,Social life and customs|N,Dust of New York,novel
mdp.39015050727299,"Lymperak?, Margarita","Lymberaki, Margarita",1919-2001,f,gk,,1995,,1995,1,1,,"Athens, Greece|Kedros|New",Fiction,,Three summers,novel
njp.32101064791153,"Thomas, Frederick W. (Frederick William)","Thomas, Frederick William",1867-1956,m,uk,1806-1866.,1836,,1836,2,2,vol. 2,"Philadelphia;Carey, Lea, ",Fiction,,East and west.: A novel,novel
mdp.39015000630163,"Larson, Charles R",,,,,,1977,,1977,2,2,,Indianapolis|Bobbs-Merril,Fiction,,"Academia nuts : or, The Collected works of Clara LePage",reprint
njp.32101068163789,,,,u,,,1816,,1816,1,1,vol.4,London;P. Partin;1816.,Fiction,,"Lavinia Fitz-Aubyn, with other tales; sketched from life",shortstories
mdp.39015004311570,"McCluskey, John",,,m,us,,1974,,1974,1,1,,New York|Random House|197,Fiction,,Look what they done to my song; a novel,novel
mdp.39015001034399,"Dalton, William",,,m,,1821-1875.,1860,,1860,4,4,,New York;Townsend;1860.,NotFiction,,"Early English poetry, ballads and popular literature of the middle ages",reprint
mdp.39015038148683,"Smith, C. W. (Charles William)",,,m,,1940-,1996,,1996,1,1,,Fort Worth|Texas Christia,Fiction,,Hunter's trap : a novel,novel
nyp.33433067294755,"Kennedy, Grace",,,f,uk,1782-1825.,1827,1825,1825,1,1,v. 4,Edinburgh;W. Oliphant;182,Fiction,English fiction,The works of Grace Kennedy,novel
mdp.39015019374266,,,,,,,1942,,1942,1,1,,London.|The Pilot press|1,UnknownGenre,"Short stories, Russian",Soviet short stories,shortstories
uc1.b3322034,"Hollis, Margery",,,f,,,1885,,1885,3,3,v. 3,London;R. Bentley and Son,Fiction,,Anthony Fairfax : a novel,novel
mdp.39015061160530,"Mitchell, Kirk",,,m,us,b. 1950,2003,,2003,1,1,,New York|Berkley Prime Cr,Novel|Mystery fiction,Oneida Indians|Indians of,Sky woman falling,novel
hvd.rsmd2m,"More, Hannah",,,f,uk,1745-1833.,1809,,1809,11,10,,New-York;David Carlisle;1,Fiction|NotFiction,English fiction,"C�lebs in search of a wife : comprehending observations on domestic habits and manner, religion and morals",novel
mdp.39015063963816,"Quincy, Edmund",,,m,us,1808-1877.,1885,,1877,2,2,,Boston;J. R. Osgood and c,NotFiction,,"Wensley, and other stories",novel
osu.32435017977026,"Lewis, Beth","Lipkin, Beth | Lipkin, Perry A. ","Lewis, Beth | Lewis, Perry A",o,us,,1951,,1951,1,1,,New York|Merlin Press|c19,Fiction,,A journey into heaven,novel
uc1.b266926,,,,u,,,1835,,1835,2,2,,Philadelphia;American Sun,,,Ann Connover,juvenile
uc1.b4104064,"Abbott, Jacob",,,m,us,1803-1879.,1855,1835,1855,2,2,,New York;T. Y. Crowell;18,Juvenile audience|Fiction,,Rollo learning to read,juvenile
uc1.$b87049,"Byrd, Sigman",,,m,,,1955,,1955,1,1,,New York|Viking Press|195,NotFiction,,Sig Byrd's Houston,nonfic
mdp.49015000298159,"Searls, Hank",,,m,us,1922-2017,1987,,1987,1,1,,New York|McGraw-Hill|c198,Fiction,,Kataki : a novel,novel
uiuo.ark+=13960=t6c25g95p,"James, G. P. R. (George Payne Rainsford)","James, George Payne Rainsford",,m,uk,1799-1860.,1844,,1844,4,4,v.2,London;R. Bentley;1844.,Fiction,1575-1615|History|James I,Arabella Stuart,novel
uc2.ark+=13960=t5j964t2w,"Trollope, Thomas Adolphus",,,m,uk,1810-1892.,1861,,1861,2,2,v.0001,London;Chapman and Hall;1,,,La Beata,novel
wu.89099302457,"Reed, Warren",,,m,,,1950,,1950,1,1,,Indianapolis|New York|Bob,Domestic fiction|Fiction,Community life|Families|F,She rode a yellow stallion,novel
mdp.39015005729267,"Simenon, Georges",,,m,be,1903-1989.,1975,,1975,1,1,,London|Hamilton|1975.,Fiction,,The others,novel
hvd.hnspmy,,,,u,,,1820,,1820,1,1,v.1,Boston (Court-Street);Wel,Dialogues|NotFiction,Christian life,Village dialogues / by the Author of William's Return,novel
nyp.33433074969340,"Dickens, Charles",,,m,uk,1812-1870.,1850,,1850,1,1,,New York;Redfield;185?,NotFiction,English fiction,Sissy Jupe; from the Hard times of Charles Dickens,novel
nyp.33433075765705,"Pemberton, Max, Sir",,,m,uk,1863-1950.,1894,,1894,1,1,,"London;Ward, Lock, & Bowd",NotFiction,Jewelry|Fiction,Jewel mysteries I have known : from a dealer note book,shortstories
mdp.39015054108751,"Green, Gerald",,,m,us,1922-2006,1956,,1956,2,2,,New York|Scribner|c1956,Fiction,,The last angry man; a novel,novel
nyp.33433082290986,"Yonge, Charlotte M. (Charlotte Mary)","Yonge, Charlotte Mary",,f,uk,1823-1901.,1859,,1859,1,1,,New York;General Prot. Ep,NotFiction,,Ben Sylvester's word,juvenile
mdp.39015065444757,,,,u,,,1818,,1818,1,1,v.1,New York;W. B. Gilley;181,Fiction,,Manners: a novel ... In two volumes,novel
mdp.39015060667444,"Gale, Patrick",,,m,uk,1962-,2005,,2005,1,1,,London|New York|Fourth Es,Fiction,Fiction|Bildungsromans|Ed,Friendly fire,novel
uc2.ark+=13960=t3bz61h8n,"Tracy, Louis",,,m,uk,1863-1928.,1898,,1898,1,1,,New York and London;G. P.,,,The lost provinces;,novel
uc1.b4102375,"Walther, Don",,,m,us,,1987,,1987,1,1,,"Rotterdam, Netherlands|La",Fiction,,Road to riches : a West Indian novel,novel
uc1.b3336971,"Crawford, F. Marion (Francis Marion)",,,m,,1854-1909.,1882,,1882,1,1,v. 1,New York;Collier;c1882-c1,NotFiction,,The complete works of F. Marion Crawford,novel
pst.000012691623,"Richard, Adrienne",,,f,,,1976,,1976,1,1,,"New York|Dell|1979, c1976",NotFiction,,Into the road,novel
uc2.ark+=13960=t7hq3sp07,"Winfield, Arthur M","Stratemeyer, Edward","Winfield, Arthur M",m,us,1862-1930,1915,,1915,1,1,,New York;Grosset & Dunlap,,,The Rover boys in business,juvenile
mdp.39015055805496,Jeyak?nta?,"Jayakanthan, D.",,m,in,1934-2015,2000,,2000,1,1,,New Jersey|Cindhanai Vatt,Short stories,Translations into English,Trial by fire and other stories,shortstories
uc1.32106006704339,"Rivers, Gayle",,"Rivers, Gayle",m,,,1978,,1978,1,1,,"Garden City, N.Y.|Doubled",Fiction,"Fiction|Vietnam War, 1961",The five fingers,novel
nyp.33433074924436,,,,u,,,1831,,1831,1,1,,Montreal;H.H. Cunningham;,NotFiction,Miscellanea|Canadian lite,"Scraps and sketches; or, The album of a literary lounger",shortstories
mdp.39015020921808,"Warren, Robert Penn",,,m,us,1905-1989.,1939,,1939,4,3,,New York|Random House|c19,Fiction|Historical fictio,Fiction|Tobacco farmers|N,Night rider,novel
uiuo.ark+=13960=t36119k7x,"Carne, John",,,m,uk,1789-1844.,1829,,1829,3,3,v.1,London;H. Colburn;1829.,,,Stratton hill,novel
mdp.39015019864969,,,,,,,1991,,1991,1,1,,"New York, N.Y.|Dutton|199",NotFiction,United States|Literary co,High risk : an anthology of forbidden writings,shortstories
uc1.$b63774,"Simpson, Lola Jean",,,m,us,1878-1934,1929,,1929,1,1,,New York|The Macmillan co,Fiction,,Treadmill,novel
uiug.30112104348153,,,,u,,,1963,,1963,1,1,v.2,"Albany, N.Y.|1963.",UnknownGenre,Traffic surveys|Binghamto,Barothy-Langer,nonfic
nyp.33433075772669,"Williamson, C. N. (Charles Norris)","Williamson, Charles Norris | Williamson, Alice Muriel",,o,us,1859-1920 | 1869-1933,1913,,1913,2,2,,"Garden City, N.Y.;Doubled",Fiction,,The port of adventure,novel
uc1.b3553822,"Corry, John",,,m,uk,approximately 1770-,1803,,1803,2,2,,London;Printed for B. Cro,Fiction,Chapbooks,"The history of Henry Thomson, or The reward of filial affection",juvenile
uc1.b182926,"Reed, Andrew",,,m,uk,1787-1862.,1820,1819,1820,2,2,v. 1,London;Francis Westley;18,,,No fiction,novel
uc1.b4381884,"Guthrie, A. B., Jr. (Alfred Bertram)","Guthrie Jr., Alfred Bertram",,m,us,1901-1991.,1985,,1985,1,1,,Boston|Houghton Mifflin|1,Fiction,,Playing catch-up,novel
nnc1.0315131394,"Maturin, Charles Robert",,,m,ir,1780-1824.,1812,,1812,4,4,v.1,London;Printed for Henry ,Fiction,,The Milesian chief.  A romance,novel
uiuo.ark+=13960=t4gm8vk7t,"Tabor, Eliza","Stephenson, Eliza Tabor",,m,uk,1835-1914,1866,,1866,3,3,v.3,London;Hurst and Blackett,,,Rachel's secret,novel
nyp.33433074921069,"Ballantyne, R. M. (Robert Michael)","Ballantyne, Robert Michael",,m,uk,1825-1894.,1870,1863,1870,1,1,,Philadelphia;Porter & Coa,Fiction,Scottish authors|English ,"Fast in the ice; or, Adventures in the polar regions",novel
mdp.39015063938685,"Huish, Robert",,,m,uk,1776-1850.,1820,,1820,1,1,,London;W. Emans;1820.,Fiction,,"The brothers; or, The Castle of Niolo. A romance",novel
uc1.$b101592,"Douglas, Marjory Stoneman",,,f,us,1890-1998,1951,,1951,1,1,,New York|Rinehart|1951,NotFiction,,Road to the sun,novel
nyp.33433076018294,,,,u,,,1846,,1846,1,1,,Hartford;S. Andrus and so,NotFiction,Gift books,The ladies' scrap-book,shortstories
hvd.hwe3lv,"Opie, Amelia Alderson",,,f,uk,1769-1853.,1827,1818,1827,2,2,v.2,Boston;S.G. Goodrich;1827,Fiction,,New tales,novel
mdp.39015012363308,,"MacFarlane, Charles",,m,uk,1799-1858,1830,,1830,1,1,v.46,London;Printed for Colbur,Fiction,English fiction,The New British novelist; comprising works by the most popular and fashionable writers of the present day,novel
pst.000047317420,,,,,,,1969,,1969,1,1,v.3-4,New York|Garrett Press|19,NotFiction,19th century|English fict,Stories by English authors,reprint
uiuo.ark:/13960/t29898z05,"Harte, Bret",,,m,us,1836-1902.,1926,,1902,3,3,,San Francisco|T.C. Russel,Fiction,"Arg�ello y Morago, Mar�a ","Concepci�n de Arg�ello : (Presidio de San Francisco, 1806)",poetry
nyp.33433076022676,"Spring, Samuel",,,m,us,,1836,,1836,2,2,v. 1,New York;Harper & Brother,Fiction,ca. 763-809|Fiction|Ha?ru,"Giafar al Barmeki, a tale of the court of Haroun al Raschid",novel
nyp.33433074951975,"Dallas, Robert Charles",,,m,uk,1754-1824.,1804,,1804,4,4,v. 4,London;Printed for T. N. ,NotFiction,,Aubrey : a novel,novel
uc2.ark+=13960=t7zk57871,"McKeever, Harriet B. (Harriet Burn)","McKeever, Harriet Burn",,f,us,1807-1886.,1869,,1869,3,3,,New York;Hurst;1869,Fiction,,Westbrook parsonage,juvenile
pst.000029585403,"Ferber, Edna",,,f,us,1885-1968.,1924,,1924,1,1,,New York|Fawcett Crest Bo,NotFiction,,So-Big : a novel,novel
mdp.39015038419779,"Duhamel, Denise",,,f,,,1995,,1995,1,1,,Anchorage|Salmon Run Pres,NotFiction,,The woman with two vaginas,poetry
uc1.b249229,"Haggard, H. Rider (Henry Rider)","Haggard, Henry Rider",,m,uk,1856-1925.,1896,,1896,2,2,,Bristol;J.W. Arrowsmith;1,,,The wizard,novel
nyp.33433074880901,"Marsh, Richard","Heldmann, Richard Bernard","Marsh, Richard",m,uk,1857-1915,1916,,1915,1,1,,New York;Bretano's;1916.,Fiction,,The great temptation,novel
uc2.ark+=13960=t81j9b246,"B?_lte, Amely","B�lte, Amely",,m,de,1811-1891,1869,,1869,2,2,,New York;G.P. Putnam & so,,1766-1817|Fiction|Madame ,Madame de Sta??l;,novel
mdp.39015059423916,"[Sampson, Alice Maud Ellen]","Sampson, Alice Maud Ellen","Allardice, Anne",f,us,1897-,1933,,1933,1,1,,New York|A. A. Knopf|1933,Fiction,,The opening gate,novel
uc2.ark+=13960=t19k4bc1s,Hofland,"Hofland, Barbara",,f,uk,1770-1844,1850,1825,1850,1,1,,"London;A. Hall, Virtue;18",,,Moderation;,juvenile
uva.x030743258,"Winfield, Arthur M","Stratemeyer, Edward","Winfield, Arthur M",m,uk,1862-1930,1910,,1910,2,2,,New York;Grosset & Dunlap,Juvenile audience|Fiction,,"The Rover boys at college; or, The right road and the wrong",juvenile
uiuo.ark+=13960=t4fn1v66s,"James, G. P. R. (George Payne Rainsford)","James, George Payne Rainsford",,m,uk,1799-1860.,1851,,1851,2,2,v.2,London;Thomas Cautley New,,823J23FA,The fate,novel
pst.000007746598,,,,,,,1981,,1981,1,1,,New York|Dell Publishing|,NotFiction,,Stepping stones : an anthology,shortstories
mdp.39015010768078,"Coatsworth, Elizabeth Jane",,,f,us,1893-1986.,1934,,1934,2,2,,New York|Macmillan|1934.,NotFiction,,Away goes Sally,juvenile
hvd.hxj2ez,,,,,,,1816,,1816,1,1,v.19  (1753-70),London;printed by T.C. Ha,NotFiction,Great Britain|Trials (Tre,,nonfic
nyp.33433074910278,"Moore, John",,,m,uk,1729-1802.,1800,,1800,5,5,v. 2,London;Printed for G. G. ,NotFiction,,"Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality",novel
nyp.33433075766737,,"Herbert, Mary Elizabeth, Baroness",,f,uk,1822-1911,1890,,1890,1,1,,New York;The Catholic Pub,Fiction,English fiction,"Peter's journey, and other tales",juvenile | shortstories
uc2.ark+=13960=t56d5rj0b,"Wylie, I. A. R. (Ida Alexa Ross)",,,f,au,1885-1959.,1912,,1912,2,2,,Indianapolis;Bobbs-Merril,,,The daughter of Brahma,novel
mdp.39015016986682,"Woo, K.T (Keng Thye)",,,m,si,,1989,,1989,1,1,,Singapore|Heinemann Asia|,Fiction,,Encounter and other stories,shortstories
mdp.39015051149659,"Hanrahan, Barbara",,,f,au,1939-1991,1987,,1987,1,1,,London|Grafton Books|1987,Fiction,,Dream people : stories,shortstories
nyp.33433076078256,"Whitelaw, Alexander",,,f,,,1835,1833,1835,4,4,v. 3,Glasgow;Blackie & Son [et,NotFiction,Literature|Collections,"The republic of letters, a selection, in poetry and prose, from the works of the most eminent writers, with many original pieces",shortstories | poetry
mdp.39015050483042,"Picano, Felice",,,m,us,1944-,2001,,2001,1,1,,Los Angeles|Alyson Books|,Fiction,Fiction|Gay men,Onyx,novel
uc1.$b101980,"Hiscock, Robin",,,m,,1929-,1958,1956,1958,1,1,,New York|Knopf|1958.,Fiction,,The last run south,novel
uc2.ark+=13960=t48p5x45j,"Lee, Jennette",,,f,us,1860-1951.,1922,,1922,1,1,,"New York;Scribner's;1922,",,,The rain-coat girl,novel
nnc1.1000448850,"Bunbury, Selina",,,f,uk,1802-1882.,1847,1844,1847,2,2,v.1,"London;Parry, Blenkarn an",NotFiction,Description and travel,Rides in the Pyrenees,novel
uiuo.ark+=13960=t0bv8450f,,,,u,,,1860,,1860,1,1,v.3,London;Hurst and Blackett,,,Stretton of Ringwood Chace,novel
nyp.33433075735021,"Pestalozzi, Johann Heinrich",,,m,de,1746-1827.,1801,1781,1801,1, ,,Philadelphia;J. Groff;180,NotFiction,Education,"Leonard and Gertrude. A popular story, written originally in German, translated into French, and now attempted in English, with the hope of its being useful to all classes of society",novel
uiuo.ark+=13960=t0ms43c1g,,,,u,,,1849,,1849,1,1,v.2,London;Orger and Meryon;1,,,Excitement,novel
inu.30000035052244,"Maugham, W. Somerset, (William Somerset)","Maugham, William Somerset",,m,uk,1874-1965.,1926,,1926,4,2,,New York|George H. Doran ,Fiction,,The casuarina tree : six stories,shortstories
uiuo.ark+=13960=t00z7pq4q,"Martineau, Harriet",,,f,uk,1802-1876.,1843,1833,1843,4,4,v.2,Hartford;S. Andrus and So,Fiction,,"Berkeley the banker, or bank notes and bullion;",novel
uiuo.ark+=13960=t49p3jr9j,"Tytler, Sarah","Keddie, Henrietta","Tytler, Sarah",f,uk,1827-1914.,1882,,1882,3,3,v.2,"London;Smith, Elder, co.;",,,Scotch marriages,novel
