docid	author	realname	pseudonym	gender	nationality	authordate	inferreddate	firstpub	latestcomp	allcopiesofwork	copiesin25yrs	enumcron	imprint	genres	subjects	shorttitle	category	hathiadvent
mdp.39015063992492	Misses. Cuthbertson	Cuthbertson, Catherine		f	uk	1775-1842.	1822	1803	1822	1.0	1.0	v.1	London;Printed for Baldwin, Cradock, & Joy [etc.;1822.			Romance of the Pyrenees	longfiction	contemporary
uiuo.ark+=13960=t7np2rz8s	Helme, Elizabeth			f	uk	d. 1814?	1801	1801	1801	1.0	1.0	v.3	London;Printed for Earle and Hemet;1801.			St. Margaret's cave	longfiction	contemporary
nyp.33433074857875	Miss. Hatfield, S			f			1802	1802	1802	1.0	1.0	v. 1-2	Wilmington [Del.;Bonsal and Niles;1802.		English fiction	She lives in hopes; or, Caroline. A narration founded upon facts	longfiction	contemporary
mdp.39015063944352	Morgan, (Sydney), Lady	Sydney, Morgan		f	ir	1783-1859.	1812	1804	1812	1.0	1.0		London;Printed for J. J. Stockdale;1812.			St. Clair; or, The heiress of Desmond	longfiction	contemporary
uiuo.ark+=13960=t4qj7s022	Damer, Anne Seymour Conway			f	uk	1748-1828.	1801	1801	1801	1.0	1.0	v.2	London;J. Johnson;1801.			Belmour	longfiction	contemporary
nyp.33433074911557	Smith, Charlotte Turner			f	uk	1749-1806.	1800	1800	1800	1.0	1.0	v. 2	London;Printed by and for S. Low;1800-1802.		English fiction	The story of Henrietta	longfiction	contemporary
nyp.33433075769749	Porter, Jane			f	uk	1776-1850.	1817	1803	1817	1.0	1.0	v. 1-2	New York;S. Marks;1817.		1764-1795|Augustus	Thaddeus of Warsaw. Four volumes in two	longfiction	contemporary
nyp.33433074911573	Smith, Charlotte Turner			f	uk	1749-1806.	1800	1800	1800	1.0	1.0	v. 4	London;Printed by and for S. Low;1800-1802.		English fiction	The Hungarian	longfiction	contemporary
hvd.32044086799087	Opie, Amelia Alderson			f	uk	1769-1853.	1827	1801	1827	1.0	1.0		Boston;S.G. Goodrich;1827.			The father and daughter : a tale	longfiction	reprint
uiuo.ark+=13960=t08w42g96	Pigott, Harriet			f	uk	1775-1846	1804	1804	1804	1.0	1.0	v.1	London;Parsons;1804.			The pride of ancestry: or, Who is she?	longfiction	contemporary
njp.32101037604772	Du Bois, Edward			m	uk	1774-1850.	1800	1800	1800	1.0	1.0		London;Printed for J. Wright;1800.		Godwin, William|1756-1836|St. Leon: a tale of the sixteenth century	St. Godwin: a tale of the sixteenth, seventeenth, and eighteenth century	longfiction	contemporary
uiuo.ark+=13960=t5h99gq2h	Du Bois, Edward			m	uk	1774-1850.	1801	1801	1801	1.0	1.0	v.1	London;Murray and Highley;1801.		823D85O	Old Nick;	longfiction	contemporary
mdp.39015063947199				m			1800	1800	1800	1.0	1.0		Southwark [London;J. Ker;1800?			The prophetic warning; or, The castle of Lindendorff. An original romance	longfiction	contemporary
nyp.33433075755250	Walker, George			m		1772-1847.	1801	1800	1801	1.0	1.0	v. 1-3	New York;Printed for the booksellers;1801.		English fiction	The three Spaniards, a romance	longfiction	contemporary
uiuo.ark+=13960=t4pk1235x	Walker, George			m	uk	1772-1847.	1803	1803	1803	1.0	1.0	v.3	London;Printed for G. Walker, and T. Hurst, by Exton;1803.		823W15D	Don Raphael	longfiction	contemporary
njp.32101068167160	Dallas, Robert Charles			m	uk	1754-1824.	1801	1801	1801	1.0	1.0	vol.4	London;Printed by A. Strahan for T. N. Longman and O. Rees;1801.			Percival : or, Nature vindicted : a novel	longfiction	contemporary
uc2.ark+=13960=t3gx4dk9q	Harley, George Davies			m	uk	-1811	1804	1804	1804	2.0	2.0		Liverpool;J. M'Creery;1804.		Montford, Charles	Circumstances respecting the late Charles Montford, esq	longfiction	contemporary
nyp.33433074910278	Moore, John			m	uk	1729-1802.	1800	1800	1800	3.0	3.0	v. 2	London;Printed for G. G. and J. Robinson;1800.			Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality	longfiction	contemporary
uiuo.ark+=13960=t5q81zv8g	Walker, George			m	uk	1772-1847	1803	1803	1803	1.0	1.0	v.1	London;Printed for G. Walker, and T. Hurst, by Exton;1803.		823W15D	Don Raphael	longfiction	contemporary
mdp.39015000623663	Kipling, Rudyard			m	uk	1865-1936.	1800	1888	1800	38.0	2.0		New York;Manhattan press;1910?		English fiction	Plain tales from the hills	shortfiction	contemporary
mdp.39015065769393	Surr, T. S. (Thomas Skinner)	Surr, Thomas sKinner		m	uk	1770-1847.	1801	1801	1801	1.0	1.0	v.2	London;Printed for T. Hurst;1801-02.			Splendid misery. A novel	longfiction	contemporary
uiuo.ark+=13960=t2j67qh6b	Bisset, Robert			m	uk	1759-1805.	1804	1804	1804	1.0	1.0	v.2	London;Longman;1804.			Modern literature;	longfiction	contemporary
uiuo.ark+=13960=t76t0xv5n	Bisset, Robert			m	uk	1759-1805.	1804	1804	1804	1.0	1.0	v.3	London;Longman;1804.			Modern literature;	longfiction	contemporary
uc2.ark+=13960=t7xk8888r	Strutt, Joseph			m	uk	1749-1802.	1808	1802	1802	3.0	3.0	v.2	Edinburgh;Printed by J. Ballantyne & co. for J. Murray, London; and A. Constable & co., Edinburgh;1808.			Queenhoo-hall	longfiction	contemporary
wu.89001048909	Reade, Charles			m	uk	1814-1884.	1800	1880	1800	1.0	1.0	9	New York|Collier|1902?			The works of Charles Reade	longfiction	contemporary
njp.32101068167186	Dallas, Robert Charles			m	uk	1754-1824.	1801	1801	1801	1.0	1.0	vol.2	London;Printed by A. Strahan for T. N. Longman and O. Rees;1801.			Percival : or, Nature vindicted : a novel	longfiction	contemporary
mdp.39015014653201	Wieland, Christoph Martin			m	de	1733-1813.	1804	1804	1804	1.0	1.0	v.1	London;J. Bell;1804.			Confessions in Elysium, or, The adventures of a Platonic philosopher; taken from the German of C. M. Wieland;	longfiction	contemporary
uiuo.ark+=13960=t6vx10k7w	Melville, Theodore			m	uk		1802	1802	1802	1.0	1.0	v.1	London;Crosby and Letterman;1802.			The white knight, or, The monastery of Morne	longfiction	contemporary
hvd.hwp4k1	Walker, George			m	uk	1772-1847.	1833	1800	1833	2.0	1.0	2	Baltimore;W. & J. Neal;1833.			The three Spaniards, a romance	longfiction	reprint
mdp.39015027528697	Lucas, Charles			m	uk	1769-1854.	1802	1801	1802	1.0	1.0	v.4	London;Printed at the Minerva press, for W. Lane;1801.			The infernal Quixote. A tale of the day	longfiction	contemporary
njp.32101068163946				u			1802	1802	1802	1.0	1.0		Cork;Connor;1802.			The monk of the grotto; or, Eugenio and Virginia; a tale	longfiction	contemporary
mdp.39015063931862				u			1800	1800	1800	1.0	1.0		London;Printed and sold by Sabine and son;1800?			The history of Zoa, the beautiful Indian, daughter of Henrietta de Bellgrave; and of Rodomond	longfiction	contemporary
uc1.32106007220202	Buddhaghosa			u			1921	1800	1921	2.0	2.0	v.29	Cambridge, Mass.;Harvard university press;1921.		Legends, Buddhist|Suttapiṭaka|Tipiṭaka|Dhammapada|Khuddakanikāya|1854-1899|Warren, Henry Clarke	Buddhist legends	shortfiction	reprint
hvd.hn2he5				u			1800	1800	1800	1.0	1.0		London;Printed for Vernor and Hood;1800.			The Governess, or, Evening amusements at a boarding school	longfiction	contemporary
dul1.ark+=13960=t9f48pv82				u			1802	1802	1802	1.0	1.0	v.1	London|Printed at the Minerva Press, for Lane and Newman|1802-.			The castle of Caithness. A romance of the thirteenth century	longfiction	contemporary
mdp.39015016424148	Helme, Elizabeth			f	uk	d. 1816.	1805	1805	1805	1.0	1.0	v.2	Brentford;Printed by and for P. Norbury;1805.			The pilgrim of the cross : or, The chronicles of Christabelle de Mowbray : an ancient legend	longfiction	contemporary
uc1.b4104109	Porter, Jane			f	uk	1776-1850.	1810	1809	1810	9.0	5.0	v. 2	New York;D. Longworth;1810.		King of Scots|1274-1329|Robert|d. 1305|Wallace's Rising, 1297-1304|History|Wallace, William|War of Independence, 1285-1371|History	The Scottish chiefs : a romance : five volumes in two	longfiction	contemporary
uiuo.ark+=13960=t56d67620	Francis, Sophia L		Francis, Sophia L	f	uk		1809	1809	1809	1.0	1.0	v.4	London;H. Colburn;1809.			Angelo Guicciardini, or, The bandit of the Alps	longfiction	contemporary
hvd.rsmd2m	More, Hannah			f	uk	1745-1833.	1809	1809	1809	9.0	8.0		New-York;David Carlisle;1809.		English fiction	Cœlebs in search of a wife : comprehending observations on domestic habits and manner, religion and morals	longfiction	contemporary
mdp.39015016424155	Helme, Elizabeth			f	uk	d. 1816.	1805	1805	1805	1.0	1.0	v.3	Brentford;Printed by and for P. Norbury;1805.			The pilgrim of the cross : or, The chronicles of Christabelle de Mowbray : an ancient legend	longfiction	contemporary
hvd.hn2tj4	Lathom, Francis			f	uk	1774-1832.	1807	1807	1807	1.0	1.0	v.2	London;Printed for B. Crosby and Co., by J. and E. Hodson;1807.			Human beings, a novel	longfiction	contemporary
uiuo.ark+=13960=t0bv7w31r	Green, Sarah			f	uk	ca. 1763-1808.	1822	1808	1808	1.0	1.0	v.1	London;1822.			Who is the bridegroom?	longfiction	contemporary
nyp.33433067303937	Roche, Regina Maria			f		1764-1845.	1807	1807	1807	1.0	1.0	v. 1	New-York;P. Burtsell;1807.		English fiction	The discarded son; or, Haunt of the banditti	longfiction	contemporary
uiuo.ark+=13960=t4dn4t070	Warner	Warner, Ellen Rebecca		f			1808	1808	1808	1.0	1.0	v.2	Bath;Printed by Richard Cruttwell ... Bath, and sold by Wilkie and Robinson ... London;1808.			Herbert-Lodge	longfiction	contemporary
uiuo.ark+=13960=t96692w8z	Opie, Amelia Alderson			f	uk	1769-1853.	1806	1806	1806	2.0	2.0	v.3	London;Printed for Longman, Hurst, Rees, and Orme;1806.			The soldier's return.  The brother and sister.  The revenge	shortfiction	contemporary
nnc1.1002268442	Corp, Harriet			f	uk	d. 1849	1814	1807	1814	1.0	1.0		London;Longman, Hurst, Rees, Orme, and Brown [etc.;1814.			An antidote to the miseries of human life, in the history of the widow Placid and her daughter Rachel	longfiction	contemporary
hvd.hxgeza	Byron, Medora Gordon		A Modern Antique	f			1809	1809	1809	2.0	2.0	v.1	London;Printed at the Minerva-Press for A.K. Newman;1809.			Celia in search of a husband	longfiction	contemporary
mdp.39015010783788	Porter, Anna Maria			f	uk	1780-1832.	1809	1809	1809	5.0	3.0	v.3	London;Printed for Longman, Hurst, Rees, and Orme;1809.		1554-1578|SebastiaÌƒo|Seba	Don Sebastian; or, The House of Braganza an historical romance	longfiction	contemporary
uiuo.ark+=13960=t1hh6st5v	Charlton, Mary			f			1805	1805	1805	1.0	1.0	v.2	London;Printed at the Minerva-Press, for Lane, Newman, and Co.;1805.			The homicide	longfiction	contemporary
uiuo.ark+=13960=t13n2s72x	Roche, Regina Maria			f	uk	1764-1845.	1807	1807	1807	1.0	1.0	v.5	London;Printed at the Minerva Press, for Lane, Newman, and Co.;1807.			The discarded son;	longfiction	contemporary
nyp.33433074938246	Burney, Sarah Harriet			f	uk	1772-1844.	1817	1808	1817	1.0	1.0	v. 1	Philadelphia;Published by M. Carey and son, and for sale by Wells and Lilly, Boston;1817.		English fiction	Geraldine Fauconberg. In two volumes	longfiction	contemporary
hvd.hwe3l9	Opie, Amelia Alderson			f	uk	1769-1853.	1809	1806	1809	1.75	1.75	v.4	London;Printed for Longman, Hurst, Rees, and Orme;1809.			Simple tales	shortfiction	contemporary
nyp.33433075729800	Edgeworth, Maria			f	ir	1767-1849.	1806	1806	1806	1.0	1.0	v. 2	London;Printed for J. Johnson;1806.		1792-1822|Shelley, Percy Bysshe	Leonora	longfiction	contemporary
uiuo.ark+=13960=t71v65g7n	Reeve, Clara	unknown		f	uk	1729-1807.	1811	1807	1807	1.0	1.0	v.3	London;Printed by J. Dean for James Taylor and Co.;1811.			Fatherless Fanny; or, The memoirs of a little mendicant and her benefactors	longfiction	contemporary
uiuo.ark+=13960=t4bp0pp3k	Reeve, Sophia			f	uk		1807	1807	1807	1.0	1.0	v.2	London;Printed for the Author, by C. Spilsbury;1807.			The mysterious wanderer	longfiction	contemporary
uiuo.ark+=13960=t3st87x1j	Warner, Miss			f	uk		1808	1808	1808	1.0	1.0	v.1	Bath;Printed by Richard Cruttwell ... Bath, and sold by Wilkie and Robinson ... London;1808.			Herbert-Lodge	longfiction	contemporary
nyp.33433074951652	Dallas, Robert Charles			m	uk	1754-1824.	1808	1808	1808	2.0	2.0	v. 2	London;Printed for Longman, Hurst, Rees, and Orme;1808.			The knights: tales illustrative of the marvellous	longfiction	contemporary
uiuo.ark+=13960=t6pz5v56p	Peregrine, Peter			m			1809	1809	1809	1.0	1.0	v.2	London;R. Spencer;1809.			Matilda Montfort	longfiction	contemporary
uiuo.ark+=13960=t3st83j7v	Lewis, M. G. (Matthew Gregory)	Lewis, Matthew Gregory		m	uk	1775-1818.	1808	1808	1808	2.0	2.0	v.2	London;Printed by D.N. Shury, for Longman, Hurst, Rees, and Orme;1808.			Romantic tales	longfiction	contemporary
uc1.b4107900	Holcroft, Thomas			m	uk	1745-1809.	1805	1805	1805	2.0	1.0	v.3	London;Longman, Hurst, Rees and Orme;1805.			Memoirs of Bryan Perdue; a novel	longfiction	contemporary
njp.32101038084727	Maturin, Charles Robert			m	ir	1780-1824.	1808	1808	1808	1.0	1.0	vol.1	London;Printed for Longman, Hurst, Rees, and Orme ... by J. D. Dewick;1808.	England|Publishers' advertisements		The wild Irish boy : in three volumes	longfiction	contemporary
uiuo.ark+=13960=t80k2wc85	Kett, Henry			m	uk	1761-1825.	1809	1809	1809	1.0	1.0	v.1	London;Rivington;1809.			Emily	longfiction	contemporary
njp.32101065863092	Mangin, Edward			m	ir	1772-1852.	1806	1806	1806	1.0	1.0	v. 2	London;Carpenter;1806.			Oddities and outlines	longfiction	contemporary
njp.32101032329045	Lewis, M. G. (Matthew Gregory)			m	uk	1775-1818.	1806	1806	1806	1.0	1.0	v.1	London;J. F. Hughes;1806.			Feudal tyrants; or, The Counts of Carlsheim and Sargans.  A romance	longfiction	contemporary
uiuo.ark+=13960=t5v702v0c	Peregrine, Peter			m			1809	1809	1809	1.0	1.0	v.4	London;R. Spencer;1809.			Matilda Montfort	longfiction	contemporary
hvd.hwspyj	Zschokke, Heinrich			m	de	1771-1848.	1805	1805	1805	3.0	2.0		London;Printed by D.N. Shury, for J.F. Hughes;1805.			The bravo of Venice, a romance:	longfiction	contemporary
uiuo.ark+=13960=t7hq4g562	Mangin, Edward			m	uk	1772-1852.	1807	1807	1807	1.0	1.0	v.3	London;Printed for James Carpenter;1807.		George|1738-1820|King of Great Britain|III	George the third	longfiction	contemporary
uiuo.ark+=13960=t8bg39w1x	Siddons, Henry			m	uk	1774-1815	1806	1806	1806	1.0	1.0	v.1	London;Phillips;1806.			The maid, wife, and widow	longfiction	contemporary
uiuo.ark+=13960=t39z9w75s	Hook, Theodore Edward			m	uk	1788-1841.	1808	1808	1808	2.0	1.0	v.3	London;S. Tipper;1808.			The man of sorrow;	longfiction	contemporary
uiuo.ark+=13960=t0jt09d3k	Smith, Charlotte Turner			m	uk	1749-1806.	1821	1806	1806	1.0	1.0	v.3	London;Printed for W. Wright;1821.			The republican's mistress;	longfiction	contemporary
uc1.$b287480	Moore, Thomas George			m	uk		1809	1809	1809	1.0	1.0	v. 1	London;Printed for H. Colburn;1809.			The bachelor	longfiction	contemporary
uiuo.ark+=13960=t2b85x205	Surr, T. S	Surr, Thomas Skinner		m	uk	1770-1847.	1807	1807	1807	1.0	1.0	v.1	London;Hughes;1807.			The mask of fashion;	longfiction	contemporary
hvd.hwkd81	Lewis, M. G. (Matthew Gregory)			m	uk	1775-1818.	1808	1808	1808	3.0	3.0	v.1-2	London;Printed by D.N. Shury, for Longman, Hurst, Rees, and Orme;1808.		English literature|823L58R	Romantic Tales	shortfiction	contemporary
uiuo.ark+=13960=t16m3wk0n	Surr, T. S	Surr, Thomas Skinner		m	uk	1770-1847	1806	1806	1806	2.0	2.0	v.1	London;R. Phillips;1806.			A winter in London;	longfiction	contemporary
uiuo.ark+=13960=t5db8pd5f	Surr, T. S			m		1770-1847.	1806	1806	1806	2.0	2.0	v.2	London;R. Phillips;1806.			A winter in London;	longfiction	contemporary
uiuo.ark+=13960=t3417b08v	Dallas, Robert Charles			m	uk	1754-1824.	1808	1808	1808	2.0	2.0	v.1	London;Printed for Longman, Hurst, Rees, and Orme;1808.		English fiction	The knights	longfiction	contemporary
njp.32101065863100	Mangin, Edward			m	uk	1772-1852.	1806	1806	1806	1.0	1.0	v. 1	London;Carpenter;1806.			Oddities and outlines	longfiction	contemporary
uiuo.ark+=13960=t6c25jh56				u	uk		1807	1807	1807	1.0	1.0	v.1	London;Printed for Longman, Hurst, Rees, and Orme;1807.			Theodore	longfiction	contemporary
uiuo.ark+=13960=t3zs33v38			The Author	u	uk		1809	1809	1809	1.0	1.0	v.4	London;Printed for W. Miller;1809.			The English brothers; or, Anecdotes of the Howard family	longfiction	contemporary
nnc1.1002356538				u			1805	1805	1805	1.0	1.0	v.2	London;1805.			Two pilgrims; a romance	longfiction	contemporary
nnc1.1002356589				u			1805	1805	1805	1.0	1.0	v.1	London;1805.			Two pilgrims; a romance	longfiction	contemporary
njp.32101030687576				u			1806	1806	1806	1.0	1.0	v.3	London;Printed and published by and for John Hunt & Carew Reynell, in Brydges Street, Strand;1806.			Classic Tales, Serious and Lively	shortfiction	contemporary
uiuo.ark+=13960=t9c548401				u			1807	1807	1807	1.0	1.0	v.4	London;Printed for Longman, Hurst, Rees, and Orme;1807.			Theodore	longfiction	contemporary
uiuo.ark+=13960=t0gt67j4p	Parker, Emma			f	uk		1813	1813	1813	1.0	1.0	v.3	London;Printed for B. and R. Crosby;1823.			Aretas	longfiction	contemporary
uc1.32106008763432	Edgeworth, Maria			f	ir	1767-1849.	1832	1814	1832	1.0	1.0	v.15	London;Baldwin and Cradock;1832-1833.			Patronage	longfiction	contemporary
uiuo.ark+=13960=t4cn7rv19	Scott, Honoria			f			1813	1813	1813	1.0	1.0	v.2	London;T. Tegg; [etc.;1813.			The castle of Strathmay; or, Scenes in the North	longfiction	contemporary
uiuo.ark+=13960=t1tf05388	Davenport, Selina			f	uk	1779-1859.	1814	1814	1814	1.0	1.0	v.5	London;Printed at the Minerva-press, for A.K. Newman and Co.;1814.			The hypocrite;	longfiction	contemporary
nyp.33433075723134	Roche, Regina Maria			f	uk	1764-1845.	1810	1810	1810	1.0	1.0		Philadelphia;Published by Bradford and Inskeep and Bradford;New-York;and William M'Ilhenny, Boston. Smith & M'Kenzie, printers;1810.		Irish fiction	The houses of Osma and Almeria; or, Convent of St. Ildefonso. A tale	longfiction	contemporary
uiuo.ark+=13960=t9p27jk9d	West	West, Jane	Mrs. West|Homespun, Prudentia	f	uk	1758-1852.	1814	1814	1814	1.0	1.0	v.1	London;Printed for Longman, Hurst, Rees, Orme, and Brown;1814.			Alicia de Lacy;	longfiction	contemporary
njp.32101066458470	Coxe, Eliza A			f	uk		1813	1813	1813	1.0	1.0	v.2	London;Printed by E. & H. Hodson for B. & R. Crosby & Co.;1813.			Liberality and prejudice : a tale	longfiction	contemporary
uc1.$b287479	Opie, Amelia Alderson			f	uk	1769-1853.	1812	1812	1812	1.0	1.0	v. 3	London;Longman, Hurst, Rees, Orme and Brown;1812			Temper	longfiction	contemporary
uiuo.ark+=13960=t9s18j533	Moriarty, Henrietta Maria			f	uk	f. 1827	1811	1811	1811	1.0	1.0	v.2	London;Printed for, and sold by the author. W. Glindon, printer;1811.			Brighton in an uproar;	longfiction	contemporary
njp.32101046807218	Sykes, S, Mrs			f	uk		1813	1813	1813	1.0	1.0	v.1-2	London;Minerva Press;1813.			Stories of the four nations : containing Montargis, a French story; My Aunt Patty, an English story; Lillias de Lara, a Spanish story; The Calabrian, an Italian story	shortfiction	contemporary
njp.32101007065988	Brunton, Mary			f	uk	1778-1818.	1814	1814	1814	3.0	2.0	vol.2	Edinburgh;Printed by G. Ramsay;1814.		Brunton, Mary|1778-1818	Discipline; a novel	longfiction	contemporary
uiuo.ark+=13960=t12n5mx4m	Kelly, Isabella			f	uk	1759-1857.	1813	1813	1813	1.0	1.0	v.1	London;J. Souter, sold by Mr. Mozley;1813.			Jane de Dunstanville, or, Characters as they are	longfiction	contemporary
uiuo.ark+=13960=t3rv0x09k	Davenport, Selina			f	uk	1779-1859.	1814	1814	1814	1.0	1.0	v.2	London;Printed at the Minerva-press, for A.K. Newman and Co.;1814.			The hypocrite;	longfiction	contemporary
uiuo.ark+=13960=t3xs68f29	Moriarty, H. M			f	uk	d. 1827	1812	1812	1812	1.0	1.0	v.2	London;Printed for and sold by the authoress, at Messrs. Seaton and Smith's;1812.			Crim. con	longfiction	contemporary
uiuo.ark+=13960=t6154xz35	Davenport, Selina			f	uk	1779-1859	1814	1814	1814	1.0	1.0	v.3	London;Printed at the Minerva-press, for A.K. Newman and Co.;1814.			The hypocrite;	longfiction	contemporary
uc1.32106019618427	Edgeworth, Maria			f	ir	1767-1849.	1832	1812	1832	1.0	1.0	v.10	London;Baldwin and Cradock;1832-1833.			The Absentee|Madame de Fluery|Emilie de Coulanges|The Modern Griselda	longfiction	contemporary
njp.32101013133515	Roche, Regina Maria			f	uk	1764-1845.	1813	1810	1813	1.0	1.0	v.2	London;Printed at the Minerva Press, for A. K. Newman and Co.;1813.			The monastery of St. Columb; or, The atonement.  A novel	longfiction	contemporary
njp.32101062933443	West, (Jane), Mrs			f	uk	1758-1852.	1814	1814	1814	1.0	1.0	v. 2	London;Longman, Hurst, Rees, Orme, and Brown;1814.			Alicia de Lacy : an historical romance	longfiction	contemporary
nnc1.0315302644	Scott, Honoria			f			1810	1810	1810	2.0	2.0	v.3	London;Dick;1810.			Amatory tales of Spain, France, Switzerland, and the Mediterranean: containing The fair Andalusian; Rosolia of Palermo; and The Maltese portrait: interspersed with pieces of original poetry	longfiction	contemporary
uiuo.ark+=13960=t1vd7jt2z	Holstein, Anthony Frederick			m			1810	1810	1810	1.0	1.0	v.1	London;Printed at the Minerva Press, for A.K. Newman;1810.			The miseries of an heiress	longfiction	contemporary
nyp.33433074865290	Jones, E. (Evan)			m			1810	1810	1810	1.0	1.0		London;A.K. Newman and Co.;1810.			The bard, or, The towers of Morven : a legendary tale	longfiction	contemporary
nnc1.0315131394	Maturin, Charles Robert			m	ir	1780-1824.	1812	1812	1812	1.0	1.0	v.1	London;Printed for Henry Colburn;1812.			The Milesian chief.  A romance	longfiction	contemporary
uiuo.ark+=13960=t3qv4352q	Nares, Edward			m	uk	1762-1841.	1812	1812	1812	1.0	1.0	v.1	London;J. Johnston;1812.		823N16I	I says, says I;	longfiction	contemporary
nnc1.0315059251	Capt. Henderson, (George)			m			1811	1811	1811	1.0	1.0		London;C. Baldwin;1811		Miskito Indians	Sketches of the manners and customs of the Mosquito Indians, made during a short residence amongst them in the year 1804; preceded by the journal of a voyage to the Mosquito shore	longfiction	contemporary
nyp.33433067379978	Bouilly, Jean Nicolas			m	fr	1763-1842.	1814	1814	1814	1.0	1.0		London;Printed for H. Colburn [etc.;1814.		Young women	Instructive narratives from real life; or, A father's advice to his daughter	longfiction	contemporary
njp.32101068176427	Castigator, pseud	Dibdin, Charles	Castigator	m	uk		1812	1812	1812	1.0	1.0	vol.2	London;Sherwood;1812.			Notoriety : or, Fashionables unveiled, a tale for the haut-ton	longfiction	contemporary
uiuo.ark+=13960=t6b28f15h	Murray, Hugh			m	uk	1779-1846	1814	1814	1814	1.0	1.0	v.2	London;Longman;1814.			Corasmin; or, The minister;	longfiction	contemporary
mdp.39015031045266	Lawrence, James Henry			m	uk	1773-1840.	1811	1811	1811	1.0	1.0	v.3	London;Printed for T. Hookham, jun. and E. T. Hookham;1811.			The empire of the Nairs; or, The rights of women. An Utopian romance	longfiction	contemporary
uiuo.ark+=13960=t3514q38x	Holstein, Anthony Frederick			m	uk		1810	1810	1810	1.0	1.0	v.4	London;Printed at the Minerva Press, for A.K. Newman;1810.			The miseries of an heiress	longfiction	contemporary
uiuo.ark+=13960=t8hd8jz8v	Holstein, Anthony Frederick			m			1810	1810	1810	1.0	1.0	v.2	London;Printed at the Minerva Press, for A.K. Newman;1810.			The miseries of an heiress	longfiction	contemporary
uiuo.ark+=13960=t08w43z30	Crandolph, Augustus Jacob			m			1811	1811	1811	1.0	1.0	v.3	London;Printed at the Minerva Press, for A.K. Newman;1811.			The mysterious hand, or, Subterranean Horrours!	longfiction	contemporary
nyp.33433076078843	Scott, Walter, Sir			m	uk	1771-1832.	1845	1814	1832	1.0	1.0	v. 1	Leipzig;B. Tauchnitz;1845-60.			Waverley novels	longfiction	reprint
uiuo.ark+=13960=t4th96q76	Crandolph, Augustus Jacob			m	uk		1811	1811	1811	1.0	1.0	v.1	London;Printed at the Minerva Press, for A.K. Newman;1811.			The mysterious hand, or, Subterranean Horrours!	longfiction	contemporary
inu.30000118294887	Taylor, Joseph			m	uk	1761 or 2-1844.	1814	1814	1814	3.0	3.0		London;Lackington, Allen, and co.;1814.		Apparitions	Apparitions; or, The mystery of ghosts, hobgoblins, & haunted houses developed	shortfiction	contemporary
njp.32101067172963	Scott, Walter, Sir			m	uk	1771-1832.	1819	1814	1819	9.0	1.0	v.1	Edinburgh;Printed for Archibald Constable and co.;1819.		English fiction	Waverley	longfiction	contemporary
